iteration.end	Min.end	ED50.end	Threshold_RH.end	virulence.end	cadaver_longevity.end	sporu_cada_longevity.end	infected_immigrants.end	LTimmigrants.end	LTAdult.end	LTNymph.end	immunity_cost.end	d_cadaver.sum	density.sum
NA												NA	NA
72	22	839	86	0.783558	115	219	0.649021	89	73	130	0.275444	5.61172	1815.41
73	15	785	94	0.52103	96	232	0.154938	75	146	173	0.373518	3.99482e-12	949.952
74	19	812	72	0.829367	54	244	0.473353	40	127	118	0.309278	16.845	1062.1
75	25	807	82	0.554773	64	148	0.68967	79	156	71	0.556386	5.11247	1855.33
76	24	804	91	0.539202	93	77	0.104952	38	117	129	0.477818	0.448538	1832.79
77	15	820	73	0.592382	73	174	0.299494	67	111	170	0.27385	4.51997	1089.36
78	24	842	87	0.399372	123	159	0.226258	66	151	113	0.342764	3.97257	2037.55
79	22	835	80	0.924392	114	53	0.374137	57	137	153	0.173712	2.12802	1847.62
80	12	825	71	0.627383	109	190	0.295645	48	112	70	0.533039	7.89985	1027.5
81	16	776	72	0.422062	122	153	0.475424	60	136	158	0.1443	5.49166	956.732
82	25	764	79	0.535711	126	228	0.41241	59	86	100	0.377218	16.0776	1450.2
83	21	825	78	0.588727	79	60	0.675637	34	77	66	0.101599	2.53632	1500.38
84	17	780	70	0.586181	56	113	0.184173	72	164	73	0.565614	2.95806	1062.69
85	20	803	90	0.791309	125	111	0.635935	64	110	144	0.685122	0.511242	1385.97
86	10	820	73	0.853748	91	238	0.193393	84	63	83	0.612016	9.23021	999.893
87	18	776	89	0.722549	91	114	0.550371	80	86	92	0.43206	2.69285	984.472
88	12	765	77	0.850436	112	124	0.443635	99	157	102	0.779938	4.10424	792.386
89	21	817	89	0.66125	55	78	0.153402	85	96	139	0.47047	0.929872	1431.23
90	10	824	88	0.376562	94	119	0.460477	87	130	71	0.636465	1.42879	1037.73
91	10	806	72	0.803142	65	169	0.356389	71	61	111	0.22905	4.92066	905.577
92	18	819	76	0.495687	115	75	0.439884	53	116	154	0.598274	2.56252	1313.58
93	11	766	78	0.36302	72	244	0.576562	88	117	109	0.751265	5.01901	785.679
94	16	814	78	0.789474	127	70	0.491141	62	105	155	0.625433	2.36025	1174.33
95	19	751	71	0.629414	121	68	0.165097	80	166	178	0.0826699	1.80544	851.634
96	11	754	80	0.251227	88	213	0.382574	40	149	120	0.650701	4.75842	758.236
97	18	823	70	0.309919	124	184	0.655333	60	122	163	0.646226	6.82158	1397.58
98	25	816	81	0.512615	68	198	0.528445	86	124	126	0.71013	5.75642	2112.34
99	18	771	71	0.605053	86	141	0.536185	53	168	108	0.708768	6.68132	876.767
100	23	825	72	0.695706	68	206	0.25749	32	98	84	0.387721	17.7187	1277.57
101	22	809	86	0.83915	84	238	0.643607	72	116	170	0.143708	6.40448	1436.74
102	17	748	77	0.770986	78	224	0.474643	84	129	87	0.0295832	8.72576	689.49
103	16	841	94	0.693961	82	110	0.619039	95	159	62	0.256517	3.15935e-11	1529.87
104	17	775	83	0.393424	85	43	0.577614	87	131	155	0.479798	0.778871	946.044
105	16	817	82	0.565316	124	109	0.109382	74	133	164	0.438706	1.57897	1293.83
106	20	811	89	0.372508	92	86	0.583092	33	69	91	0.0308602	2.22475	1393.37
107	10	815	74	0.467648	125	155	0.425731	74	157	115	0.00621849	4.47534	997.937
108	12	778	93	0.775773	129	71	0.362134	61	168	122	0.0914678	0.0136973	913.381
109	21	818	82	0.30783	98	215	0.201689	31	113	69	0.762964	5.31363	1422.5
110	26	790	91	0.518734	74	181	0.285278	94	81	131	0.727431	1.47645	1956.46
111	11	842	82	0.881925	121	205	0.422763	88	163	84	0.0472031	3.85129	1266.18
112	25	786	77	0.355596	72	176	0.299538	60	108	121	0.514705	6.94259	1642.49
113	22	791	78	0.65816	75	100	0.164029	37	99	171	0.111773	2.93304	1163.75
114	26	776	89	0.579757	128	121	0.291374	96	164	124	0.410799	4.28111	1810.39
115	15	778	92	0.412071	102	245	0.664396	77	129	158	0.522339	0.541362	1001.47
116	11	813	92	0.632993	59	172	0.446637	84	66	168	0.345194	0.000188421	1014.7
117	10	816	77	0.380591	64	73	0.544901	84	148	135	0.239404	1.23738	983.474
118	20	833	81	0.504348	66	222	0.485883	55	153	65	0.0852248	5.47127	1667.29
119	23	823	88	0.673763	94	167	0.445368	51	88	125	0.361202	5.13136	1670.91
120	17	830	78	0.491132	124	201	0.459828	66	158	138	0.0252164	6.43127	1358.01
121	23	761	75	0.204093	96	164	0.137281	56	107	143	0.446951	4.04257	1257.2
122	15	754	78	0.765734	112	58	0.317948	68	121	119	0.692456	1.80474	766.567
123	11	826	89	0.705224	83	127	0.304948	41	167	151	0.747034	1.66703	1072.62
124	26	790	70	0.568665	85	197	0.218571	35	111	104	0.187253	19.7434	1519.6
125	21	809	76	0.419536	78	216	0.330488	46	167	142	0.423273	8.25238	1476.63
126	20	824	94	0.269479	70	212	0.569302	60	138	137	0.57223	2.51478e-5	1611.21
127	23	830	73	0.201123	90	59	0.428747	90	93	150	0.671925	1.57091	2025.1
128	23	771	83	0.88967	123	157	0.352542	89	123	175	0.155726	5.71835	1239.42
129	14	760	83	0.44296	111	171	0.51754	53	167	163	0.0191301	4.21414	749.991
130	22	802	73	0.327613	105	97	0.46847	42	108	127	0.485578	3.87771	1389.93
131	10	838	90	0.515777	108	51	0.203618	64	115	112	0.428138	1.12927e-8	1045.07
132	23	765	84	0.291372	69	240	0.301735	53	163	99	0.781227	6.19704	1173.8
133	14	826	90	0.211724	126	211	0.495398	30	76	116	0.538215	0.332728	1148.04
134	12	760	87	0.486698	92	85	0.123233	58	120	81	0.267699	1.08727	746.106
135	14	796	76	0.780481	117	218	0.292301	36	114	167	0.427282	10.1018	959.228
136	22	834	79	0.315616	54	130	0.202871	77	120	160	0.0102854	2.70963	1833.54
137	20	828	88	0.430864	59	95	0.604531	81	86	111	0.615112	1.48373	1634.22
138	22	821	93	0.911063	84	173	0.397584	74	61	179	0.19594	0.448831	1625.98
139	15	766	85	0.696979	105	242	0.251852	79	101	120	0.46243	4.38375	816.922
140	16	782	90	0.846366	111	166	0.519144	89	88	88	0.23164	0.226498	973.003
141	20	813	71	0.933711	76	88	0.171643	90	91	162	0.796686	3.04397	1346.2
142	22	807	90	0.527747	127	244	0.421676	92	118	166	0.311936	1.00946	1550.27
143	11	803	71	0.929723	84	195	0.264466	30	69	153	0.758039	8.7403	848.176
144	15	801	90	0.39781	71	95	0.523484	41	83	117	0.597962	0.239706	1063.48
145	26	807	91	0.338967	120	229	0.622865	86	105	165	0.214798	1.94545	2017.52
146	26	758	81	0.567181	129	88	0.688136	50	92	103	0.579884	4.80725	1446.11
147	24	825	77	0.45341	58	227	0.400498	40	169	147	0.698091	9.72441	1912.13
148	22	797	86	0.20238	54	104	0.557699	99	131	167	0.734275	1.50534	1545.28
149	13	805	87	0.351762	111	195	0.409016	35	122	87	0.278374	3.83419	1070.71
150	25	838	91	0.460566	61	47	0.564927	47	134	67	0.0795033	0.479665	2434.53
151	12	832	87	0.425305	81	118	0.383951	59	94	162	0.705869	1.53276	1138.53
152	18	795	88	0.255586	97	72	0.683201	83	164	133	0.069913	1.32531	1151.83
153	16	818	71	0.902197	86	208	0.586059	47	113	117	0.347302	14.2487	1035.3
154	18	787	86	0.702991	79	81	0.286755	81	96	174	0.58027	1.33861	1054.64
155	26	780	80	0.59413	119	48	0.44172	33	98	119	0.0495727	2.29458	1549.06
156	14	797	79	0.5288	114	151	0.650791	44	62	60	0.252341	5.87932	991.199
157	25	774	78	0.760801	87	235	0.223624	95	100	82	0.167991	12.7547	1388.39
158	12	757	86	0.427228	118	199	0.262661	94	161	130	0.534933	3.14622	770.542
159	19	811	72	0.280214	97	67	0.67414	63	134	77	0.401218	2.10009	1298.07
160	15	803	78	0.472697	88	150	0.504795	74	60	90	0.414739	4.02142	1022.5
161	13	766	77	0.304203	107	86	0.314431	79	80	172	0.399576	1.80029	800.97
162	26	794	83	0.56324	67	243	0.546074	69	145	176	0.688669	8.63043	1905.29
163	16	762	91	0.903138	71	80	0.322778	56	65	65	0.17734	0.284813	846.565
164	12	752	88	0.383804	92	97	0.45509	76	122	63	0.29137	1.62435	692.622
165	23	787	83	0.313395	62	57	0.659902	62	144	176	0.585569	1.29779	1580.16
166	20	753	88	0.651022	99	231	0.39224	99	82	73	0.4981	6.03801	977.961
167	14	822	75	0.216093	93	113	0.152329	67	129	72	0.458107	2.03911	1167.93
168	17	766	76	0.287476	112	167	0.249404	44	140	69	0.063519	5.23503	921.629
169	22	829	77	0.815824	58	246	0.520681	69	121	149	0.691054	12.9598	1639.41
170	17	813	91	0.82797	118	156	0.336578	93	83	85	0.258028	0.078662	1244.71
171	26	806	92	0.741606	76	175	0.522064	51	106	95	0.791815	2.14066	1953.63
172	19	801	86	0.441572	59	203	0.377236	31	77	129	0.0123591	3.85593	1210.83
173	20	833	74	0.546591	63	185	0.2899	65	174	153	0.26972	5.57772	1683.13
174	24	754	88	0.34337	116	135	0.343655	78	74	148	0.184672	3.76238	1242.5
175	13	793	91	0.671159	108	99	0.557174	43	109	94	0.592751	0.163192	947.378
176	16	755	89	0.729942	95	99	0.470009	36	169	112	0.317615	2.88086	791.173
177	24	824	75	0.436244	76	103	0.645176	56	152	125	0.756931	4.35966	1924.75
178	25	779	73	0.525669	72	120	0.316065	68	131	69	0.448325	6.88167	1478.78
