iteration.end	Min.end	ED50.end	Threshold_RH.end	virulence.end	cadaver_longevity.end	sporu_cada_longevity.end	infected_immigrants.end	LTimmigrants.end	LTAdult.end	LTNymph.end	immunity_cost.end	d_cadaver.sum	density.sum
NA												NA	NA
672	17	839	71	0.919121	85	180	0.541812	31	131	176	0.680417	8.36073	1139.1
673	18	785	72	0.804	85	152	0.638729	77	172	72	0.364909	9.43322	1044.56
674	11	812	77	0.664461	103	248	0.288937	51	96	104	0.496473	10.071	911.359
675	18	807	92	0.707404	109	160	0.647927	61	137	100	0.56787	0.497311	1219.57
676	19	804	81	0.715152	128	224	0.506832	48	141	61	0.0924421	8.66102	1151.87
677	16	820	92	0.666447	61	41	0.209026	97	143	116	0.0388485	0.00441367	1307.58
678	18	842	76	0.690613	87	188	0.284068	54	82	109	0.283291	7.38239	1494.72
679	14	835	79	0.768618	84	179	0.315284	62	138	89	0.121722	5.1499	1286.63
680	12	825	84	0.86554	64	40	0.395744	43	137	90	0.204712	0.597466	1081.01
681	14	776	93	0.332986	65	241	0.606714	82	103	152	0.118516	0.0467417	881.248
682	19	764	85	0.230317	99	210	0.112909	47	170	135	0.609416	3.28501	948.738
683	24	825	85	0.949988	77	124	0.196323	70	124	76	0.0430137	3.86534	1826.09
684	24	780	83	0.684887	98	117	0.549788	87	65	171	0.103594	3.96626	1380.19
685	20	803	92	0.229445	95	94	0.579831	78	112	105	0.312843	0.343381	1413.39
686	23	820	84	0.254339	129	171	0.406577	63	135	113	0.640986	4.98936	1813.83
687	23	776	88	0.641872	63	207	0.103449	55	83	67	0.0748088	4.23361	1262.48
688	14	765	74	0.513664	119	210	0.66573	52	145	162	0.542724	7.65576	794.061
689	25	817	85	0.439928	128	44	0.591652	65	151	134	0.223404	1.3047	1912.07
690	20	824	81	0.318194	82	176	0.487418	46	114	94	0.397301	4.24326	1506.18
691	23	806	80	0.275748	94	131	0.23045	82	150	128	0.561311	3.3535	1684.54
692	14	819	70	0.386063	71	199	0.345979	34	125	164	0.318944	5.7369	1039.34
693	16	766	82	0.218968	113	143	0.319146	33	111	129	0.519977	3.48041	916.276
694	25	814	79	0.681432	67	157	0.533052	46	166	169	0.384341	7.68663	1835.95
695	13	751	88	0.635677	110	93	0.144269	99	143	179	0.210766	1.23427	706.814
696	12	754	82	0.668609	98	228	0.241192	47	90	78	0.114243	5.19006	661.275
697	26	823	72	0.927109	74	242	0.255125	67	98	155	0.35535	33.646	1777.84
698	11	816	77	0.785322	90	142	0.694532	53	119	89	0.601633	5.19948	964.031
699	20	771	78	0.404115	105	115	0.497043	44	144	112	0.341142	4.42845	1043.1
700	18	825	85	0.61846	66	105	0.448299	86	175	141	0.131717	1.44523	1437.45
701	23	809	89	0.542305	91	240	0.667823	42	156	90	0.728398	8.67288	1737.05
702	13	748	83	0.600374	116	82	0.100543	68	115	132	0.249318	1.17582	712.662
703	24	841	80	0.302219	119	80	0.500232	90	117	75	0.333613	2.46422	2022.57
704	19	775	83	0.450173	60	153	0.595168	78	140	86	0.57044	3.3223	1146.72
705	21	817	92	0.792853	65	168	0.427365	58	94	108	0.201948	0.757478	1415.44
706	18	811	75	0.643613	82	134	0.129411	84	155	111	0.304209	3.23823	1307.8
707	17	815	90	0.436652	62	168	0.647055	87	109	74	0.659261	0.156401	1264.07
708	15	778	92	0.887955	113	89	0.354936	83	80	158	0.509358	0.125482	973.442
709	16	818	90	0.689127	56	81	0.699145	59	68	61	0.382322	0.134901	1286.73
710	19	790	82	0.755901	123	79	0.349576	65	142	74	0.389875	2.47853	1168.66
711	12	842	76	0.782887	79	239	0.293533	64	151	60	0.678363	9.86866	1188.64
712	26	786	85	0.700191	74	233	0.607087	56	150	149	0.327648	10.0532	1704.05
713	24	791	90	0.655533	123	129	0.217208	30	143	133	0.507617	1.15062	1572.61
714	24	776	85	0.583867	83	105	0.653771	37	126	62	0.420155	5.00066	1330.72
715	17	778	84	0.364635	102	97	0.380064	47	76	127	0.254459	2.33727	904.631
716	26	813	77	0.89788	106	173	0.681936	58	135	140	0.24505	19.9844	1739.71
717	12	816	84	0.812489	89	91	0.206662	92	108	83	0.468143	1.18244	1000.52
718	13	833	72	0.271258	74	236	0.594864	38	172	62	0.524235	6.82574	1192.59
719	21	823	75	0.552365	58	226	0.247582	32	121	80	0.005483	10.8162	1451.37
720	21	830	89	0.305326	88	178	0.108713	57	70	130	0.0321606	2.51562	1688.83
721	10	761	82	0.559608	115	140	0.611179	58	66	105	0.736263	3.22916	747.606
722	24	754	71	0.882986	115	122	0.372096	35	119	114	0.26389	16.325	697.999
723	22	826	92	0.47702	79	224	0.169132	32	175	76	0.547114	1.14199	1889.5
724	13	790	79	0.833396	80	132	0.120885	80	145	149	0.52708	2.33997	852.99
725	19	809	70	0.918072	120	234	0.134602	88	120	145	0.6443	15.2561	1231
726	18	824	80	0.475108	75	242	0.653058	43	80	146	0.712017	6.7563	1338.44
727	10	830	77	0.552927	73	150	0.500658	71	107	98	0.700209	3.66197	1108.03
728	19	771	84	0.586851	59	65	0.162817	73	169	134	0.627285	1.02296	1112.93
729	23	760	74	0.51086	122	107	0.167519	74	141	145	0.240282	3.66703	1203.87
730	26	802	73	0.405292	111	143	0.161115	30	82	85	0.161136	8.28261	1790.9
731	26	838	85	0.465428	125	210	0.404467	91	173	179	0.206948	6.30179	2414.38
732	19	765	73	0.207424	55	128	0.180386	85	89	118	0.188103	2.22352	979.697
733	16	826	76	0.258548	123	87	0.393606	88	155	67	0.00993052	2.16761	1234.17
734	11	760	92	0.710718	77	84	0.600559	38	127	123	0.104101	0.244134	704.296
735	20	796	72	0.50345	100	73	0.15718	99	68	141	0.28198	1.9212	1285.1
736	22	834	73	0.57495	119	128	0.53406	90	177	86	0.339804	6.93101	1808.67
737	12	828	88	0.660788	117	45	0.525039	91	67	124	0.492921	0.650592	1154.66
738	11	821	79	0.235807	78	67	0.686781	63	91	95	0.455685	1.35547	1101.32
739	21	766	82	0.597553	129	106	0.26694	74	174	124	0.513684	3.34313	1165.09
740	21	782	75	0.787086	79	196	0.1556	39	147	174	0.634121	7.70274	1129.46
741	22	813	84	0.863072	82	40	0.117479	30	101	151	0.505838	0.829518	1645
742	26	807	88	0.745522	125	52	0.48853	67	158	171	0.335238	1.80226	1986.91
743	25	803	82	0.759878	115	165	0.46224	68	127	128	0.328197	7.86883	1656.72
744	18	801	94	0.616485	80	99	0.357064	80	69	65	0.559345	3.50937e-8	1290.6
745	10	807	74	0.682661	102	231	0.565411	38	166	114	0.730569	9.9066	971.411
746	24	758	77	0.844072	60	77	0.692536	73	159	65	0.722935	4.84612	1120.98
747	14	825	83	0.321002	74	54	0.337227	56	153	173	0.683568	0.767725	1189.43
748	11	797	91	0.507287	112	152	0.663485	61	146	92	0.583249	0.0433045	1004.94
749	10	805	70	0.374733	117	119	0.305729	40	154	87	0.768621	3.80467	970.362
750	12	838	94	0.723966	75	197	0.326236	51	172	172	0.203682	2.00603e-11	1207.24
751	11	832	86	0.482011	63	182	0.245448	47	65	77	0.352991	1.9025	1104.42
752	10	795	84	0.712922	66	163	0.45275	49	177	129	0.14794	2.64151	944.632
753	19	818	83	0.379922	128	223	0.515968	57	74	159	0.0512804	6.14184	1490.34
754	19	787	82	0.856743	112	220	0.613628	86	171	147	0.0345677	6.8408	1147.89
755	12	780	87	0.668805	129	187	0.669416	62	178	141	0.0706406	3.79844	775.929
756	23	797	78	0.490406	121	191	0.360644	72	81	70	0.0673773	9.24199	1319.87
757	25	774	93	0.224477	101	193	0.633856	33	90	161	0.149681	2.03608	1523.13
758	18	757	77	0.44494	80	83	0.625719	33	95	121	0.540008	2.86355	827.048
759	18	811	91	0.941522	61	75	0.55437	81	128	109	0.0590221	0.136808	1320.53
760	13	803	70	0.234026	90	147	0.515347	53	89	156	0.782166	3.83533	1059.26
761	14	766	91	0.498148	126	108	0.369464	40	102	157	0.652182	0.410564	834.121
762	24	794	74	0.446523	69	163	0.131259	37	92	175	0.300682	4.77597	1486.86
763	22	762	80	0.817215	103	142	0.536993	84	123	96	0.081357	6.54294	991.608
764	11	752	81	0.90702	108	130	0.508594	87	133	176	0.407458	2.74853	690.886
765	16	787	88	0.417409	127	52	0.41783	62	99	66	0.247811	1.12605	1018.93
766	17	753	78	0.209249	126	203	0.115997	63	61	141	0.350408	4.05604	923.656
767	20	822	84	0.32458	97	46	0.232794	43	66	125	0.158306	0.961752	1515.11
768	11	766	76	0.263545	71	214	0.23849	55	76	80	0.501352	4.51799	762.608
769	15	829	79	0.752689	75	70	0.405155	70	93	67	0.714719	1.86482	1268.05
770	12	813	93	0.581111	73	217	0.253991	82	79	152	0.171436	7.29959e-6	1107.66
771	17	806	93	0.240718	103	79	0.275475	67	95	138	0.24311	0.0561245	1339.52
772	19	801	84	0.870995	89	230	0.671606	81	64	113	0.775262	6.21648	1188.48
773	21	833	74	0.35701	74	83	0.526865	49	71	85	0.511805	2.91423	1781.85
774	18	754	84	0.276989	62	130	0.270601	49	94	178	0.611065	2.46652	907.688
775	13	793	79	0.633171	122	58	0.438176	46	142	102	0.126098	1.87498	911.227
776	17	755	88	0.875542	80	145	0.684393	87	114	139	0.417588	2.99511	796.094
777	10	824	89	0.831274	63	54	0.222237	93	73	137	0.218822	0.427137	1009.78
778	11	779	93	0.763936	55	221	0.479155	88	123	165	0.124984	0.000217986	806.304
779	26	751	76	0.868862	87	61	0.494057	61	82	82	0.716286	6.15301	1172.2
780	14	781	74	0.508719	96	193	0.276765	59	161	93	0.799596	6.47099	935.937
781	16	835	86	0.464048	69	170	0.140875	70	174	84	0.577198	1.72758	1435.1
782	13	820	93	0.75349	70	158	0.540507	36	99	166	0.655887	0.0179134	1179.21
783	14	833	83	0.623684	59	107	0.414575	51	70	98	0.603672	1.59087	1289.55
784	22	756	90	0.534046	98	206	0.482662	98	106	146	0.754305	1.14238	1141.37
785	16	790	72	0.890665	80	195	0.615601	34	158	166	0.720255	12.1359	887.255
786	22	797	72	0.914269	87	165	0.588894	93	142	96	0.629574	12.6746	1277.16
787	10	832	74	0.807673	98	133	0.463145	39	90	156	0.0170474	4.25097	1111.81
788	14	791	71	0.233305	87	92	0.239917	57	78	85	0.0576669	2.10514	942.157
789	10	764	73	0.341457	107	154	0.634049	52	152	97	0.703045	4.33944	694.549
790	13	749	81	0.854853	93	227	0.696098	77	165	118	0.380428	5.67068	710.829
791	22	770	80	0.905459	121	247	0.261738	99	78	157	0.153603	9.25842	1070.87
792	10	758	91	0.432661	77	160	0.661395	78	163	96	0.322305	0.115412	750.447
793	11	764	81	0.873672	97	87	0.311921	86	112	126	0.216271	1.53808	762.302
794	13	747	79	0.615844	89	183	0.548045	59	79	103	0.60703	5.45367	614.372
795	11	767	71	0.44891	105	90	0.637286	83	178	169	0.574269	2.17914	810.838
796	17	823	79	0.358287	58	162	0.102849	73	158	77	0.277617	2.19371	1300.52
797	15	839	74	0.256903	73	128	0.146433	73	89	151	0.66936	1.99317	1315.31
798	22	781	80	0.239225	70	50	0.431151	95	161	106	0.663302	1.0246	1445.66
799	17	777	84	0.938776	117	96	0.302671	72	173	169	0.695901	2.4512	944.509
800	15	761	92	0.852274	57	230	0.359342	36	161	95	0.752307	1.10622	896.022
801	21	755	75	0.745958	101	161	0.187052	43	63	82	0.589276	9.88481	790.511
802	10	803	79	0.336356	109	239	0.280632	34	110	158	0.594557	5.78321	871.975
803	11	770	87	0.596374	65	233	0.597499	53	155	168	0.112386	3.55505	755.94
804	19	778	90	0.916146	65	89	0.632439	65	93	75	0.440119	0.488589	1110.04
805	26	785	71	0.866516	109	233	0.33307	64	139	102	0.284945	46.338	1216.55
806	17	788	81	0.227837	70	55	0.177739	59	176	159	0.00147804	0.820486	1082.37
807	15	754	83	0.248674	84	189	0.321215	58	136	104	0.198943	3.80559	795.744
808	15	807	70	0.872918	102	94	0.19792	52	103	99	0.362265	4.32812	1002.78
809	12	827	73	0.878438	107	92	0.192812	37	149	179	0.706436	2.57499	1128.64
810	21	821	76	0.57213	89	125	0.215688	91	168	110	0.208531	3.99249	1569.98
811	13	811	91	0.289479	120	237	0.50279	70	171	114	0.660558	0.0246974	1077.59
812	14	753	71	0.2417	107	84	0.366848	42	162	70	0.233486	2.441	780.074
813	13	806	84	0.245008	104	225	0.385549	93	64	152	0.696137	3.71509	1090.94
814	15	797	85	0.772106	88	46	0.37803	79	132	79	0.0766971	0.712071	946.135
815	23	799	86	0.604513	101	144	0.140049	98	141	144	0.687325	2.71459	1505.31
816	12	839	87	0.908878	56	219	0.375507	46	170	73	0.52101	2.50908	1201.79
817	24	840	86	0.813855	91	138	0.122027	75	146	70	0.0455207	2.94687	1972.29
818	26	811	94	0.292804	68	43	0.259453	44	165	104	0.617551	0.14704	2182.54
819	10	837	77	0.591643	107	151	0.592055	69	170	144	0.531747	3.99373	1075.38
820	20	798	88	0.731683	89	177	0.467081	54	72	150	0.197093	4.81547	1290.23
821	13	831	85	0.531783	58	216	0.119489	55	75	63	0.136386	1.634	1157.87
822	10	829	94	0.84843	110	112	0.44982	70	105	160	0.569367	5.29871e-9	1133.47
823	23	830	74	0.608056	73	246	0.338754	49	77	126	0.21232	15.629	1729.57
824	23	804	94	0.929285	59	122	0.603241	39	76	139	0.367627	0.310821	1656.94
825	22	788	88	0.938571	79	110	0.186448	34	172	74	0.235699	3.89603	1316.55
826	21	782	87	0.758725	68	220	0.234717	41	119	137	0.325478	5.37916	1205.85
827	16	759	81	0.266522	71	199	0.419358	71	130	123	0.545863	3.61537	809.174
828	25	801	70	0.395488	81	112	0.362979	71	74	66	0.0538516	5.65283	1634.33
829	19	780	81	0.799837	104	114	0.20611	45	62	161	0.0618447	3.31308	1058.91
830	24	747	72	0.480088	57	110	0.179327	42	104	80	0.672506	5.23907	1051.23
831	19	775	83	0.452413	55	202	0.181576	76	151	80	0.404922	3.4381	1138.25
832	24	779	73	0.414747	77	49	0.13259	46	146	92	0.299356	1.28669	1460.55
833	14	824	80	0.411774	122	102	0.424765	78	81	125	0.563701	2.26022	1156.05
834	14	796	93	0.26937	65	51	0.30734	39	66	168	0.193495	0.0384477	1074.54
835	10	788	91	0.348723	54	63	0.62412	50	176	177	0.292148	0.0406817	850.269
836	18	818	89	0.777542	121	204	0.21534	35	85	120	0.586136	5.03983	1289.24
837	26	759	88	0.461739	57	108	0.348483	69	139	82	0.47241	3.17426	1561.91
838	13	807	75	0.716769	83	174	0.407581	96	157	68	0.129134	5.44845	942.986
839	19	830	78	0.298356	86	237	0.401557	81	107	79	0.745027	6.4454	1586.36
840	18	748	91	0.702488	100	191	0.340165	37	69	63	0.374522	1.30488	765.28
841	12	841	87	0.408373	101	126	0.12674	38	63	143	0.675401	1.34992	1178.33
842	17	814	75	0.40677	92	52	0.370655	61	138	140	0.741873	1.33727	1250.69
843	25	748	71	0.742934	95	125	0.437485	76	74	143	0.288664	9.28307	1001.52
844	16	822	94	0.73991	109	91	0.691868	68	63	136	0.226885	1.36337e-10	1279.72
845	17	776	72	0.920247	95	186	0.477828	98	104	143	0.0225007	8.86527	835.341
846	17	802	70	0.717906	92	226	0.328457	30	91	93	0.250004	19.0073	904.066
847	10	773	75	0.818823	108	41	0.481775	85	72	101	0.517747	1.14617	768.322
848	26	814	80	0.334176	97	60	0.539197	52	100	72	0.236109	2.35946	2206.53
849	20	769	81	0.367088	91	145	0.621778	54	60	173	0.748108	4.01175	1055.61
850	11	792	87	0.329427	54	214	0.173998	83	149	103	0.151502	1.62741	871.671
851	16	792	86	0.936595	84	69	0.484009	72	79	137	0.451742	1.34019	1100.84
852	26	773	74	0.478532	113	104	0.465713	77	130	73	0.434069	6.78764	1652.98
853	21	751	75	0.471783	104	64	0.388647	54	85	165	0.742761	2.07633	923.246
854	17	748	79	0.63865	100	207	0.364678	83	84	100	0.0219529	6.91234	732.282
855	20	753	89	0.601856	124	147	0.224995	65	140	106	0.135042	4.12457	974.28
856	24	805	87	0.80065	103	192	0.698296	31	162	98	0.474398	10.0516	1647.65
857	11	763	73	0.62469	60	187	0.640861	64	107	96	0.643013	5.31285	719.905
858	19	752	94	0.519189	61	141	0.63009	97	154	81	0.718331	0.00251832	979.94
859	13	832	87	0.732883	105	131	0.543925	76	179	161	0.116282	1.97034	1160.03
860	15	798	93	0.210748	127	126	0.308859	51	85	76	0.491326	0.0441044	1072.96
861	13	777	94	0.49308	69	205	0.273655	76	171	63	0.487506	1.4781e-9	813.086
862	10	816	81	0.811191	76	235	0.471104	37	144	133	0.0975659	3.90961	939.956
863	16	782	78	0.84302	64	101	0.324683	34	103	94	0.425952	3.42402	841.65
864	23	826	74	0.653433	57	155	0.269206	94	95	174	0.183904	4.62096	1698.8
865	22	799	93	0.708873	61	180	0.678993	98	177	68	0.169375	0.394634	1535.17
866	21	809	85	0.945056	114	185	0.142703	73	178	171	0.306677	4.1297	1501.07
867	19	810	90	0.894837	81	65	0.166661	95	148	178	0.551536	0.0635487	1348.22
868	17	795	89	0.424739	113	106	0.277521	96	155	78	0.132317	1.83159	1152.91
869	20	773	79	0.610064	96	63	0.513852	69	140	97	0.08625	2.27051	1030.99
870	23	837	94	0.825991	127	146	0.182854	48	88	89	0.489499	0.0216044	1873.83
871	15	761	86	0.736447	82	42	0.581076	98	179	115	0.409061	0.689755	906.975
872	17	780	86	0.919121	85	180	0.541812	31	131	176	0.680417	4.80112	1001.19
873	18	810	94	0.804	85	152	0.638729	77	172	72	0.364909	7.88199e-12	1400.46
874	11	763	72	0.664461	103	248	0.288937	51	96	104	0.496473	12.3755	691.67
875	18	768	82	0.707404	109	160	0.647927	61	137	100	0.56787	5.40972	935.663
876	19	789	91	0.715152	128	224	0.506832	48	141	61	0.0924421	1.2442	1189.77
877	16	804	73	0.666447	61	41	0.209026	97	143	116	0.0388485	0.743847	1176.67
878	18	817	87	0.690613	87	188	0.284068	54	82	109	0.283291	3.83599	1309.69
879	14	839	80	0.768618	84	179	0.315284	62	138	89	0.121722	3.84458	1144.75
880	12	759	71	0.86554	64	40	0.395744	43	137	90	0.204712	1.10578	660.333
881	14	791	72	0.332986	65	241	0.606714	82	103	152	0.118516	5.85257	932.722
882	19	808	79	0.230317	99	210	0.112909	47	170	135	0.609416	4.28784	1336.94
883	24	769	78	0.949988	77	124	0.196323	70	124	76	0.0430137	6.53912	1080.97
884	24	810	70	0.684887	98	117	0.549788	87	65	171	0.103594	6.682	1612.12
885	20	794	90	0.229445	95	94	0.579831	78	112	105	0.312843	0.423828	1364.97
886	23	828	73	0.254339	129	171	0.406577	63	135	113	0.640986	7.10047	1923.36
887	23	800	89	0.641872	63	207	0.103449	55	83	67	0.0748088	3.87593	1603.32
888	14	813	77	0.513664	119	210	0.66573	52	145	162	0.542724	7.4305	1114.69
889	25	765	89	0.439928	128	44	0.591652	65	151	134	0.223404	1.4277	1642.16
890	20	757	88	0.318194	82	176	0.487418	46	114	94	0.397301	4.37405	878.124
891	23	750	72	0.275748	94	131	0.23045	82	150	128	0.561311	3.87462	1106.17
892	14	815	76	0.386063	71	199	0.345979	34	125	164	0.318944	5.12097	1092.15
893	16	814	78	0.218968	113	143	0.319146	33	111	129	0.519977	3.86447	1205.52
894	25	791	78	0.681432	67	157	0.533052	46	166	169	0.384341	7.13841	1372.01
895	13	769	71	0.635677	110	93	0.144269	99	143	179	0.210766	1.94139	855.842
896	12	771	80	0.668609	98	228	0.241192	47	90	78	0.114243	6.04821	735.367
897	26	817	70	0.927109	74	242	0.255125	67	98	155	0.35535	32.2998	1697.9
898	11	783	81	0.785322	90	142	0.694532	53	119	89	0.601633	3.06176	826.789
899	20	763	71	0.404115	105	115	0.497043	44	144	112	0.341142	5.1002	922.948
900	18	747	72	0.61846	66	105	0.448299	86	175	141	0.131717	2.88934	737.387
901	23	800	86	0.542305	91	240	0.667823	42	156	90	0.728398	8.67117	1646.67
902	13	798	77	0.600374	116	82	0.100543	68	115	132	0.249318	1.61829	975.904
903	24	795	94	0.302219	119	80	0.500232	90	117	75	0.333613	0.040177	1648.55
904	19	785	83	0.450173	60	153	0.595168	78	140	86	0.57044	3.06431	1108.72
905	21	784	82	0.792853	65	168	0.427365	58	94	108	0.201948	5.20795	1141.09
906	18	833	89	0.643613	82	134	0.129411	84	155	111	0.304209	1.59766	1553.93
907	17	775	74	0.436652	62	168	0.647055	87	109	74	0.659261	4.16435	905.38
908	15	767	93	0.887955	113	89	0.354936	83	80	158	0.509358	0.0320085	842.813
909	16	772	82	0.689127	56	81	0.699145	59	68	61	0.382322	1.87109	866.311
910	19	791	91	0.755901	123	79	0.349576	65	142	74	0.389875	0.314458	1199.04
911	12	750	82	0.782887	79	239	0.293533	64	151	60	0.678363	5.64542	769.416
912	26	773	77	0.700191	74	233	0.607087	56	150	149	0.327648	17.8672	1488.5
913	24	805	78	0.655533	123	129	0.217208	30	143	133	0.507617	7.44623	1641.87
914	24	832	89	0.583867	83	105	0.653771	37	126	62	0.420155	3.91974	2055.96
915	17	838	92	0.364635	102	97	0.380064	47	76	127	0.254459	0.175134	1451.44
916	26	774	92	0.89788	106	173	0.681936	58	135	140	0.24505	2.49891	1715.96
917	12	787	77	0.812489	89	91	0.206662	92	108	83	0.468143	2.46858	838.009
918	13	829	81	0.271258	74	236	0.594864	38	172	62	0.524235	3.99002	1222.46
919	21	831	88	0.552365	58	226	0.247582	32	121	80	0.005483	4.76581	1724.7
920	21	787	78	0.305326	88	178	0.108713	57	70	130	0.0321606	3.78988	1254.27
921	10	757	75	0.559608	115	140	0.611179	58	66	105	0.736263	4.68162	605.075
922	24	768	78	0.882986	115	122	0.372096	35	119	114	0.26389	9.62759	962.129
923	22	767	89	0.47702	79	224	0.169132	32	175	76	0.547114	6.24704	1317.86
924	13	812	70	0.833396	80	132	0.120885	80	145	149	0.52708	3.25063	981.767
925	19	794	76	0.918072	120	234	0.134602	88	120	145	0.6443	10.797	1140.43
926	18	829	94	0.475108	75	242	0.653058	43	80	146	0.712017	4.11917e-15	1459.24
927	10	837	73	0.552927	73	150	0.500658	71	107	98	0.700209	3.57745	1011.85
928	19	825	83	0.586851	59	65	0.162817	73	169	134	0.627285	0.860698	1542.53
929	23	808	83	0.51086	122	107	0.167519	74	141	145	0.240282	2.78889	1711.94
930	26	834	73	0.405292	111	143	0.161115	30	82	85	0.161136	8.19162	2183.97
931	26	752	90	0.465428	125	210	0.404467	91	173	179	0.206948	2.30506	1588.16
932	19	768	84	0.207424	55	128	0.180386	85	89	118	0.188103	1.77574	992.509
933	16	838	90	0.258548	123	87	0.393606	88	155	67	0.00993052	0.00754222	1486.69
934	11	769	87	0.710718	77	84	0.600559	38	127	123	0.104101	1.6318	731.357
935	20	758	76	0.50345	100	73	0.15718	99	68	141	0.28198	1.61758	937.632
936	22	835	79	0.57495	119	128	0.53406	90	177	86	0.339804	5.52177	2026.91
937	12	812	88	0.660788	117	45	0.525039	91	67	124	0.492921	0.68578	1086.64
938	11	818	93	0.235807	78	67	0.686781	63	91	95	0.455685	1.19336e-8	1024.11
939	21	827	85	0.597553	129	106	0.26694	74	174	124	0.513684	2.60442	1712.58
940	21	782	90	0.787086	79	196	0.1556	39	147	174	0.634121	1.02217	1291.51
941	22	796	71	0.863072	82	40	0.117479	30	101	151	0.505838	1.14635	1238.86
942	26	808	90	0.745522	125	52	0.48853	67	158	171	0.335238	0.546354	2024.4
943	25	771	71	0.759878	115	165	0.46224	68	127	128	0.328197	16.3936	1091.34
944	18	763	90	0.616485	80	99	0.357064	80	69	65	0.559345	0.388172	983.855
945	10	803	91	0.682661	102	231	0.565411	38	166	114	0.730569	0.127581	951.631
946	24	756	81	0.844072	60	77	0.692536	73	159	65	0.722935	3.19652	1233.13
947	14	770	77	0.321002	74	54	0.337227	56	153	173	0.683568	1.09973	931.13
948	11	793	86	0.507287	112	152	0.663485	61	146	92	0.583249	2.63524	891.341
949	10	767	87	0.374733	117	119	0.305729	40	154	87	0.768621	2.17117	703.215
950	12	761	91	0.723966	75	197	0.326236	51	172	172	0.203682	0.439015	739.807
951	11	755	87	0.482011	63	182	0.245448	47	65	77	0.352991	2.75084	728.821
952	10	841	88	0.712922	66	163	0.45275	49	177	129	0.14794	1.82765	1135.17
953	19	800	71	0.379922	128	223	0.515968	57	74	159	0.0512804	10.5424	1278.03
954	19	762	86	0.856743	112	220	0.613628	86	171	147	0.0345677	5.88052	873.563
955	12	765	80	0.668805	129	187	0.669416	62	178	141	0.0706406	5.48794	735.957
956	23	836	79	0.490406	121	191	0.360644	72	81	70	0.0673773	9.51918	1920.45
957	25	819	78	0.224477	101	193	0.633856	33	90	161	0.149681	7.75403	1839
958	18	815	86	0.44494	80	83	0.625719	33	95	121	0.540008	1.81387	1348.7
959	18	753	72	0.941522	61	75	0.55437	81	128	109	0.0590221	2.79073	768.477
960	13	834	78	0.234026	90	147	0.515347	53	89	156	0.782166	3.13364	1165.13
961	14	799	77	0.498148	126	108	0.369464	40	102	157	0.652182	3.59415	987.07
962	24	836	83	0.446523	69	163	0.131259	37	92	175	0.300682	3.42114	2177.57
963	22	749	91	0.817215	103	142	0.536993	84	123	96	0.081357	0.992465	961.77
964	11	786	88	0.90702	108	130	0.508594	87	133	176	0.407458	2.11646	922.742
965	16	762	83	0.417409	127	52	0.41783	62	99	66	0.247811	1.30252	845.194
966	17	772	88	0.209249	126	203	0.115997	63	61	141	0.350408	2.95858	929.317
967	20	795	75	0.32458	97	46	0.232794	43	66	125	0.158306	1.27195	1309.66
968	11	772	76	0.263545	71	214	0.23849	55	76	80	0.501352	4.45665	705.048
969	15	752	77	0.752689	75	70	0.405155	70	93	67	0.714719	2.09892	676.464
970	12	750	91	0.581111	73	217	0.253991	82	79	152	0.171436	0.264134	783.928
971	17	801	92	0.240718	103	79	0.275475	67	95	138	0.24311	0.153268	1200.47
972	19	810	86	0.870995	89	230	0.671606	81	64	113	0.775262	5.17928	1241.58
973	21	812	74	0.35701	74	83	0.526865	49	71	85	0.511805	3.03432	1508.18
974	18	799	88	0.276989	62	130	0.270601	49	94	178	0.611065	2.00702	1261.75
975	13	820	91	0.633171	122	58	0.438176	46	142	102	0.126098	0.0375776	1175.31
976	17	784	89	0.875542	80	145	0.684393	87	114	139	0.417588	2.79389	1042.18
977	10	759	75	0.831274	63	54	0.222237	93	73	137	0.218822	0.895431	705.199
978	11	829	73	0.763936	55	221	0.479155	88	123	165	0.124984	4.77454	988.401
979	26	835	92	0.868862	87	61	0.494057	61	82	82	0.716286	0.632927	2358.46
980	14	822	76	0.508719	96	193	0.276765	59	161	93	0.799596	5.88623	1189.38
981	16	819	78	0.464048	69	170	0.140875	70	174	84	0.577198	3.10887	1320.94
982	13	799	86	0.75349	70	158	0.540507	36	99	166	0.655887	2.61873	930.745
983	14	781	73	0.623684	59	107	0.414575	51	70	98	0.603672	3.25514	845.695
984	22	842	79	0.534046	98	206	0.482662	98	106	146	0.754305	6.91562	1874.43
985	16	774	93	0.890665	80	195	0.615601	34	158	166	0.720255	0.767279	991.804
986	22	784	81	0.914269	87	165	0.588894	93	142	96	0.629574	5.81982	1325.71
987	10	793	70	0.807673	98	133	0.463145	39	90	156	0.0170474	5.87498	749.743
988	14	785	76	0.233305	87	92	0.239917	57	78	85	0.0576669	2.07824	997.06
989	10	748	81	0.341457	107	154	0.634049	52	152	97	0.703045	3.30231	637.635
990	13	747	75	0.854853	93	227	0.696098	77	165	118	0.380428	8.38351	629.084
991	22	789	83	0.905459	121	247	0.261738	99	78	157	0.153603	8.62981	1347.23
992	10	786	87	0.432661	77	160	0.661395	78	163	96	0.322305	2.05968	834.627
993	11	750	85	0.873672	97	87	0.311921	86	112	126	0.216271	1.41928	683.421
994	13	841	74	0.615844	89	183	0.548045	59	79	103	0.60703	6.18175	1272.59
