Date	Time	T	I	N	S	U
03/01/2017	21:05:00	4.674883842	0	0.012381855	22.21789551	0.049356829
03/01/2017	22:05:00	4.590128899	0	0.012359648	22.19038963	0.089714716
03/01/2017	23:05:00	4.507218838	0	0.012279305	22.17766571	0.106034338
04/01/2017	00:05:00	4.430880547	0	0.012240309	22.15909767	0.101183265
04/01/2017	01:05:00	4.364284992	0	0.012145319	22.16981125	0.098144884
04/01/2017	02:05:00	4.303699493	0	0.011917021	22.22786713	0.107886783
04/01/2017	03:05:00	4.282002449	0	0.011639111	22.30666924	0.111025094
04/01/2017	04:05:00	4.271679878	0	0.011375151	22.38803673	0.111333524
04/01/2017	05:05:00	4.245868683	0	0.011155237	22.46303558	0.095346593
04/01/2017	06:05:00	4.187440395	0	0.011023007	22.51508522	0.081416124
04/01/2017	07:05:00	4.139019489	0	0.010928203	22.55844688	0.07625839
04/01/2017	08:05:00	4.180953503	0	0.010825222	22.60760307	0.083807291
04/01/2017	09:05:00	4.304155827	27.59280777	0.010724707	22.65752029	0.087562232
04/01/2017	10:05:00	4.492930889	62.71370316	0.010624954	22.71004295	0.088686641
04/01/2017	11:05:00	4.722293377	83.2250824	0.010580858	22.74259949	0.071231968
04/01/2017	12:05:00	4.973818302	85.52313995	0.010562136	22.76161385	0.07020968
04/01/2017	13:05:00	5.249623299	69.57028961	0.010431371	22.83108139	0.085629584
04/01/2017	14:05:00	5.515358925	38.10995865	0.010268558	22.91594696	0.083571027
04/01/2017	15:05:00	5.704479694	2.448043823	0.010157792	22.97519302	0.065890766
04/01/2017	16:05:00	5.834235668	0	0.01007559	23.02303696	0.053809422
04/01/2017	17:05:00	5.881383419	0	0.010077271	23.02999878	0.045009737
04/01/2017	18:05:00	5.82322073	0	0.010105134	23.02199554	0.036895939
04/01/2017	19:05:00	5.724912167	0	0.010068578	23.04429817	0.037182191
04/01/2017	20:05:00	5.624749184	0	0.01005428	23.05373001	0.019843318
04/01/2017	21:05:00	5.528161049	0	0.010083524	23.04002571	0.037154443
04/01/2017	22:05:00	5.449374676	0	0.010120877	23.02175331	0.071253755
04/01/2017	23:05:00	5.376335144	0	0.01012319	23.01738739	0.083066747
05/01/2017	00:05:00	5.309360027	0	0.010054895	23.04247093	0.097811551
05/01/2017	01:05:00	5.222239971	0	0.010007227	23.05632019	0.114567692
05/01/2017	02:05:00	5.080358982	0	0.010088362	23.01634407	0.13873668
05/01/2017	03:05:00	4.926290512	0	0.01020351	22.96761703	0.14399191
05/01/2017	04:05:00	4.782860279	0	0.010248443	22.94690132	0.137726828
05/01/2017	05:05:00	4.632210255	0	0.010293899	22.92591095	0.136564491
05/01/2017	06:05:00	4.485852718	0	0.010287657	22.91999817	0.144390398
05/01/2017	07:05:00	4.350734711	0	0.010242577	22.92360878	0.152557591
05/01/2017	08:05:00	4.304123402	0	0.010175768	22.93363762	0.147023773
05/01/2017	09:05:00	4.351601124	29.01027107	0.010090351	22.94817352	0.138686682
05/01/2017	10:05:00	4.459332466	64.57836914	0.010037483	22.95515251	0.132784395
05/01/2017	11:05:00	4.509082794	85.68367767	0.010027106	22.9533062	0.12509172
05/01/2017	12:05:00	4.55025816	88.69246674	0.009988281	22.97093964	0.107796321
05/01/2017	13:05:00	4.762578964	72.88235474	0.009899691	23.01465607	0.089810074
05/01/2017	14:05:00	4.919187546	40.10388184	0.009826514	23.04858017	0.081482917
05/01/2017	15:05:00	5.025642395	3.143131018	0.009817925	23.0563755	0.083046611
05/01/2017	16:05:00	5.094591141	0	0.009938279	23.02297211	0.095774657
05/01/2017	17:05:00	5.069433212	0	0.010219621	22.94386864	0.109086673
05/01/2017	18:05:00	4.957365036	0	0.010522499	22.86258888	0.120639149
05/01/2017	19:05:00	4.754107952	0	0.010724364	22.81133652	0.133212965
05/01/2017	20:05:00	4.54758358	0	0.010786382	22.79774094	0.141125157
05/01/2017	21:05:00	4.336006165	0	0.010664285	22.83167839	0.138870667
05/01/2017	22:05:00	4.142439365	0	0.010475909	22.88627052	0.132399474
05/01/2017	23:05:00	4.057482719	0	0.010265876	22.95877838	0.12204781
06/01/2017	00:05:00	4.109722137	0	0.010042954	23.05095482	0.108681719
06/01/2017	01:05:00	4.230157375	0	0.009819438	23.14655304	0.094988579
06/01/2017	02:05:00	4.3404603	0	0.009636496	23.21945763	0.08102214
06/01/2017	03:05:00	4.385222435	0	0.009531008	23.25550652	0.073486591
06/01/2017	04:05:00	4.347685814	0	0.009535457	23.25123787	0.076257158
06/01/2017	05:05:00	4.242627621	0	0.009683071	23.20419502	0.089780626
06/01/2017	06:05:00	4.096099854	0	0.009983379	23.11587906	0.104794273
06/01/2017	07:05:00	3.925142527	0	0.010372543	23.00821495	0.121068299
06/01/2017	08:05:00	3.851228714	0	0.010660113	22.93348503	0.131010553
06/01/2017	09:05:00	3.818251371	22.05624771	0.010667914	22.93047714	0.1329552
06/01/2017	10:05:00	3.774802923	50.49590683	0.010479601	22.97606659	0.128744019
06/01/2017	11:05:00	3.833773851	73.26357269	0.010226657	23.04113579	0.121571542
06/01/2017	12:05:00	3.9793396	76.34284973	0.009966472	23.11403847	0.110665447
06/01/2017	13:05:00	4.1612463	52.35249329	0.009733071	23.18068504	0.097802202
06/01/2017	14:05:00	4.327012062	27.13440132	0.009534372	23.23361778	0.08313201
06/01/2017	15:05:00	4.42846489	3.200997591	0.009399979	23.26366806	0.072990689
06/01/2017	16:05:00	4.429076672	0	0.009367562	23.26452637	0.072277895
06/01/2017	17:05:00	4.307367325	0	0.009476642	23.22762108	0.086736961
06/01/2017	18:05:00	4.125322819	0	0.009773052	23.14245796	0.105604938
06/01/2017	19:05:00	3.911571026	0	0.010210852	23.02708435	0.122337842
06/01/2017	20:05:00	3.695954561	0	0.010543226	22.94297218	0.13035607
06/01/2017	21:05:00	3.465197802	0	0.010555642	22.93178749	0.129447655
06/01/2017	22:05:00	3.213696957	0	0.010349446	22.96605301	0.127259758
06/01/2017	23:05:00	2.949694395	0	0.010116827	23.00534439	0.124821722
07/01/2017	00:05:00	2.731886148	0	0.009933621	23.03815842	0.119762873
07/01/2017	01:05:00	2.695931673	0	0.009764584	23.08128738	0.107989586
