fileNumber	cropAtStart	cropHalfways	k	propExposedImmigrants	lethalTime	immunityCost	cadaverDuration	timeAcceleration	sporulationOn	transmissionEfficiency	BiocontrolSuccess
27	17.2358	796.478	26	0.295825	61.4102	0.122713	86.4551	2.28835	85.5565	0.246599	0
33	28.3443	838.462	23	0.546214	69.7894	0.177999	86.7151	2.28462	84.8699	0.210961	0
23	23.6696	799.596	16	0.484063	70.6673	0.192533	72.6102	1.82684	87.2968	0.253264	0
39	23.8456	795.941	18	0.462422	80.096	0.31038	90.96	2.25242	82.1967	0.345256	0
9	24.3654	805.785	28	0.194559	62.3802	0.126647	74.8595	1.96653	87.726	0.256246	0
34	20.5252	839.821	20	0.19619	70.4236	0.183841	58.9109	1.34369	91.5235	0.247767	0
39	21.0137	791.972	29	0.279604	70.6456	0.210787	78.4553	2.09231	90.7202	0.463386	0
9	14.7211	840.75	15	0.248467	69.3418	0.172915	87.8875	2.21106	85.8961	0.318732	0
6	21.1418	816.824	23	0.349229	53.6504	0.184861	70.9005	1.9527	86.0176	0.270511	0
7	12.9859	769.224	19	0.366726	63.8999	0.174892	80.7501	1.84177	91.5519	0.307671	0
35	26.2202	833.41	30	0.100303	77.0584	0.307651	84.6515	2.30975	93.7135	0.370012	0
39	18.6657	836.863	28	0.283416	68.4579	0.306801	77.7169	1.75351	89.3781	0.406852	0
25	29.699	791.019	29	0.348241	52.0549	0.348215	85.2653	2.09102	87.9354	0.136955	0
17	26.6942	790.21	25	0.373957	57.862	0.14413	65.112	1.65815	85.1438	0.127253	0
27	25.9719	805.842	25	0.371131	77.3728	0.0865892	87.0939	1.68596	94.9661	0.27016	0
39	18.6657	836.863	28	0.283416	68.4579	0.306801	68.9596	1.75351	87.9383	0.406852	0
19	26.1353	804.31	22	0.177678	61.2796	0.184111	88.7632	2.18451	88.4514	0.364142	0
33	26.6333	799.74	18	0.426878	58.7627	0.167825	90.1527	2.59837	94.887	0.272831	0
15	23.2988	797.977	24	0.362819	78.4522	0.0496226	86.4294	2.66454	88.5334	0.291829	0
6	29.5797	797.079	28	0.357318	53.5955	0.327713	67.8573	1.7228	90.4889	0.264474	0
28	24.1977	800.987	17	0.299359	65.4053	0.278737	70.9863	1.55949	81.8348	0.216768	0
14	19.1627	792.244	29	0.180514	66.7663	0.203263	102.299	2.93084	95.0332	0.436683	0
25	26.5921	817.255	24	0.318691	81.6368	0.108756	60.4498	1.62561	91.5782	0.349737	0
32	20.331	820.637	25	0.660533	73.7359	0.213536	83.36	1.96304	90.6912	0.40099	0
25	29.3959	832.091	19	0.187847	78.8508	0.185626	71.772	1.47401	93.4681	0.215092	0
38	25.1935	772.99	19	0.36875	70.2659	0.137604	82.2783	1.68838	88.3516	0.342559	0
18	19.5478	784.969	22	0.36984	62.1774	0.253643	80.3631	1.66884	84.2099	0.22773	0
19	17.1156	815.265	16	0.204974	74.5406	0.280224	83.5493	1.59238	90.8209	0.364346	0
32	29.6145	843.871	27	0.590213	78.8805	0.0204771	65.4151	1.05387	91.5566	0.164759	0
11	17.666	806.037	23	0.132475	67.99	0.24481	82.6576	1.58736	91.4103	0.272514	0
28	26.3404	795.866	15	0.489735	66.0484	0.0280535	99.687	1.50531	87.4126	0.139299	0
33	13.7829	812.245	19	0.577492	53.3048	0.0788379	67.3188	1.20683	91.9411	0.245789	0
39	22.381	815.756	30	0.318076	64.035	0.251897	90.1067	1.55256	88.666	0.177714	0
8	14.6625	813.607	28	0.322838	63.9225	0.208389	84.4418	1.36644	90.769	0.253603	0
15	25.8401	833.331	26	0.254592	85.6691	0.246647	95.6374	1.48511	88.6868	0.309849	0
11	11.0927	763.89	22	0.241747	56.6409	0.0900446	83.0407	1.62638	93.7424	0.35527	0
35	25.3209	815.954	29	0.493889	55.5809	0.368605	108.768	2.4909	80.2644	0.148643	0
15	20.8358	822.307	30	0.245052	66.8192	0.341746	71.6208	1.36915	87.8915	0.289017	0
4	21.5077	776.619	18	0.267912	74.1052	0.271464	61.5789	2.16134	87.8423	0.424951	0
5	24.2238	763.553	30	0.569663	60.0164	0.0515291	65.5595	1.77055	92.4096	0.176586	0
29	19.7144	783.277	25	0.332049	107.373	0.276853	69.6421	2.97262	89.0025	0.304262	0
9	13.3163	805.39	25	0.658566	58.2337	0.055921	55.7124	2.59528	91.3723	0.369613	0
29	22.0985	796.908	29	0.404272	69.3715	0.164156	78.3265	2.35392	86.0221	0.0949552	0
14	19.2183	783.41	19	0.534101	62.8987	0.329817	49.2894	2.25376	89.2646	0.302113	0
31	22.9472	829.179	16	0.125323	61.9664	0.17806	64.3288	2.6143	85.5653	0.239679	0
29	17.0598	781.29	17	0.496535	54.6579	0.2104	50.0104	1.92108	91.6386	0.171802	0
5	25.0961	778.487	25	0.502861	92.1184	0.245645	75.8603	2.34884	94.7481	0.239714	0
37	22.5326	816.875	21	0.153652	106.689	0.181147	72.9113	2.73079	94.9635	0.18949	0
20	25.5942	804.134	18	0.480082	50.0981	0.178212	73.2798	2.71739	88.3697	0.308611	0
27	28.4186	823.324	27	0.400133	81.2697	0.334341	64.0481	2.15186	94.2448	0.248984	0
8	20.5081	778.071	28	0.202136	64.151	0.0271886	77.186	2.23365	83.5221	0.297501	0
1	17.1043	791.999	29	0.516406	84.5951	0.125374	64.7119	1.98005	91.5759	0.403989	0
7	22.7642	819.371	25	0.446	83.0954	0.155451	60.1897	2.56472	82.382	0.202863	0
5	24.1759	777.829	17	0.160774	71.7017	0.359484	53.2347	2.65767	83.0358	0.409203	0
12	15.3193	817.885	16	0.444582	57.4398	0.234459	71.8313	2.31064	83.983	0.288244	0
27	23.7507	775.997	18	0.362086	52.3112	0.335014	74.5493	2.52035	91.2288	0.134869	0
7	22.7642	819.371	25	0.58892	88.6049	0.155451	60.1897	2.56472	82.382	0.202863	0
24	13.817	783.171	23	0.472922	59.1847	0.220697	60.4498	2.44613	88.5858	0.315289	0
26	20.7397	841.978	22	0.283089	67.1478	0.39125	85.1181	2.30371	81.5675	0.189974	0
39	23.0779	815.963	30	0.385563	66.1349	0.159447	79.4494	2.3265	92.5466	0.338883	0
34	28.5276	767.571	29	0.252906	83.298	0.384546	82.8549	1.90052	86.838	0.268773	0
21	19.9503	800.441	18	0.189863	80.6476	0.31229	98.265	2.60297	87.2937	0.379227	0
32	14.9453	823.494	18	0.335299	61.1312	0.213925	85.4733	2.8653	89.5282	0.35789	0
22	26.2078	784.28	17	0.49899	82.2252	0.243361	78.3026	2.49754	91.3366	0.35349	0
40	19.8724	816.125	29	0.364901	64.2573	0.250316	60.993	2.36878	93.9167	0.225377	0
33	26.9479	792.054	25	0.465993	67.1589	0.396193	87.034	2.88234	90.6846	0.1602	0
15	19.2258	816.434	26	0.393235	73.5636	0.223217	70.3097	1.72778	81.8593	0.273665	0
18	18.5132	816.751	25	0.338182	73.8825	0.216069	86.4346	2.25083	83.0186	0.23868	0
39	12.2211	827.456	17	0.644817	58.9558	0.171561	61.412	2.00289	89.6571	0.334851	0
14	23.6725	837.961	21	0.337337	78.5192	0.267131	84.7851	2.15947	91.9475	0.138422	0
9	17.9523	805.915	29	0.516584	75.0321	0.170387	72.2296	1.71633	84.6366	0.325927	0
24	20.1869	788.613	27	0.455948	71.9949	0.250584	86.1101	2.57566	91.1219	0.226109	0
25	12.3741	785.049	23	0.443029	70.5426	0.0780237	89.2105	2.21802	95.571	0.453744	0
34	19.5761	774.913	21	0.531219	88.5946	0.219684	84.7579	2.34875	95.5158	0.149223	0
1	25.1415	825.45	27	0.155503	98.2601	0.154634	82.0437	1.66204	85.2998	0.361106	0
33	22.8557	771.887	22	0.572153	61.2358	0.16135	66.6371	2.45236	88.994	0.267704	0
15	19.0596	778.269	26	0.356971	73.3146	0.238172	70.2615	2.18293	90.4235	0.343434	0
37	12.7759	784.374	19	0.325954	65.9337	0.055518	74.1361	2.42678	84.2633	0.269676	0
28	14.5746	792.473	27	0.321826	90.9964	0.256872	72.9556	2.3015	93.5225	0.454874	0
33	28.7098	768.072	25	0.354628	84.904	0.255715	101.36	2.39129	90.3197	0.0886371	0
36	21.4822	812.416	16	0.407456	58.4427	0.299532	66.822	2.10659	88.4629	0.273982	0
37	20.6058	789.496	17	0.328197	92.3734	0.273815	57.9807	1.97827	88.473	0.326812	0
17	21.3174	797.247	28	0.26846	56.3357	0.208091	76.5697	1.82873	87.7682	0.164732	0
37	19.2985	790.703	26	0.147354	70.4926	0.0129644	71.3899	2.26992	85.7931	0.381208	0
22	26.1969	804.1	24	0.347911	90.9799	0.292691	54.6105	1.40119	87.3233	0.281059	0
40	25.5071	769	18	0.408748	73.072	0.181101	81.4089	2.40243	85.6034	0.432175	0
7	16.0009	848.654	19	0.324224	54.0472	0.224558	82.8044	2.17229	82.6961	0.0998146	0
24	16.34	796.814	18	0.25106	57.5823	0.249297	61.3756	2.22569	93.054	0.211409	0
1	17.8781	813.856	27	0.325103	57.7891	0.162685	60.0803	2.2985	93.9973	0.261336	0
37	15.1484	801.948	23	0.393613	75.3878	0.221591	77.0341	1.7941	91.0365	0.2327	0
35	20.4202	814.222	25	0.447235	78.5242	0.104702	52.1286	1.12902	86.6918	0.207064	0
35	21.1122	823.358	16	0.246309	79.9059	0.125857	85.0533	2.10636	88.7645	0.252158	0
2	25.0535	775.473	18	0.392544	63.9676	0.318415	91.6261	2.25485	81.2885	0.151568	0
37	19.3554	809.559	19	0.543188	89.5752	0.12518	63.3569	1.86196	85.2936	0.259149	0
29	22.2839	776.438	21	0.397241	71.8295	0.290319	60.8427	1.76899	83.8794	0.353869	0
13	23.4185	769.108	27	0.337989	94.2334	0.3576	68.6595	2.14513	82.6867	0.403239	0
24	19.9488	802.917	20	0.422573	85.3604	0.0593742	80.3204	2.66837	92.977	0.320027	0
7	26.1861	754.587	28	0.155582	73.7193	0.114749	77.4266	1.86864	89.9572	0.23311	0
40	18.7071	788.765	28	0.543809	63.1723	0.0620843	81.4804	2.63485	84.4706	0.424443	0
14	23.6677	828.79	21	0.226077	77.5772	0.320773	96.1558	1.58158	91.9275	0.146199	0
15	25.1674	765.456	27	0.217896	59.901	0.10933	71.4743	1.67095	90.2897	0.245375	0
35	17.0904	817.419	21	0.409951	82.8543	0.267334	75.9851	2.07644	91.2951	0.33508	0
11	26.9648	790.604	16	0.20706	80.9021	0.265483	90.5941	2.51353	91.2973	0.299853	0
36	24.0649	820.745	18	0.456734	71.785	0.132075	57.2143	1.75051	93.787	0.386384	0
11	22.2708	801.113	15	0.672046	108.408	0.0988081	97.1498	2.63954	93.8488	0.404776	0
35	19.5798	823.055	26	0.550412	72.3868	0.0848118	93.1945	2.29455	91.8598	0.206027	0
34	22.2177	812.869	30	0.35845	79.1392	0.123422	102.661	2.22929	93.2372	0.278721	0
37	17.1685	762.028	21	0.484684	77.8836	0.0983463	65.5244	1.11299	87.7306	0.358606	0
10	22.7505	825.389	16	0.366384	77.5872	0.157271	74.3986	1.78668	85.9128	0.458373	0
1	22.4166	809.495	27	0.525464	79.4976	0.297219	81.9624	1.50614	95.7157	0.476572	0
11	27.156	794.04	15	0.394326	89.5963	0.22378	92.9038	1.87606	91.5342	0.284337	0
36	19.2686	824.669	16	0.418129	65.613	0.101984	84.3729	2.21867	95.0076	0.280659	0
36	23.741	814.618	19	0.508308	76.7343	0.187914	95.2367	2.24515	87.9027	0.240849	0
23	23.4296	830.208	22	0.454595	60.9922	0.0691436	58.0512	1.25722	97.0612	0.315733	0
10	10.7421	783.725	28	0.545339	54.0156	0.189198	81.59	2.64231	83.8642	0.459822	0
27	26.0327	786.29	25	0.337941	85.8953	0.173897	93.7718	2.01061	91.5358	0.195347	0
31	18.0228	794.017	28	0.415801	64.3322	0.24341	100.325	2.20831	83.3887	0.117226	0
4	14.8412	760.304	21	0.407367	68.0817	0.177316	55.1378	1.60721	94.7646	0.32046	0
37	20.9555	794.724	21	0.445256	80.2104	0.177042	111.095	2.10553	91.1973	0.223262	0
10	26.2327	769.724	27	0.400934	83.4984	0.0170301	75.8701	1.87094	88.8485	0.404713	0
31	21.8665	830.186	20	0.331238	84.2917	0.143872	99.8251	1.77309	80.9326	0.123708	0
3	22.022	827.179	23	0.576753	93.9381	0.2215	96.8358	1.89265	88.3994	0.381106	0
37	18.9477	793.451	30	0.494939	107.583	0.244288	86.2095	1.82165	85.9516	0.418276	0
28	17.2392	786.307	18	0.10711	63.5939	0.0566407	66.2958	1.42727	91.4087	0.166205	0
35	21.0356	793.773	24	0.377202	54.7658	0.259911	72.2561	2.47523	98.2659	0.274683	0
15	22.5192	806.476	23	0.488733	57.5	0.268388	89.8265	1.74808	91.012	0.11972	0
37	13.4908	777.861	22	0.101056	74.9466	0.298582	98.8907	2.35799	89.7389	0.276785	0
11	23.6657	780.48	28	0.500835	108.319	0.263508	87.3635	2.45214	92.3726	0.427857	0
17	23.6994	791.071	29	0.294503	67.1107	0.304645	94.9782	1.71884	90.2982	0.0846632	0
13	29.6365	832.546	27	0.280118	89.8029	0.382454	99.9898	1.21925	85.7152	0.15837	0
37	25.9734	838.847	29	0.498251	100.827	0.0623795	78.5339	1.78425	95.1358	0.281795	0
35	13.6127	779.079	25	0.259749	61.1146	0.172761	89.5464	2.25569	92.113	0.187384	0
37	21.6376	810.4	24	0.435625	85.248	0.216129	96.1094	1.7433	92.8042	0.173663	0
29	21.0894	797.393	30	0.614266	70.5832	0.223735	79.3591	1.67659	86.5946	0.266282	0
29	19.3681	778.55	22	0.181381	69.7311	0.0767107	79.9003	2.46424	88.0485	0.341116	0
1	17.4288	798.761	20	0.418062	65.438	0.173145	86.4936	1.52671	90.1543	0.0855805	0
32	18.7813	820.34	15	0.130506	58.4496	0.24126	108.224	2.17764	86.8323	0.14648	0
24	20.2129	753.081	18	0.478733	83.2643	0.125567	86.9456	1.65704	84.6761	0.205847	0
15	25.5605	826.971	27	0.315471	105.377	0.310781	49.331	2.53968	84.5258	0.343553	0
25	15.6024	799.581	21	0.538902	74.7106	0.0899651	54.1887	2.29534	89.1241	0.158816	0
29	25.2511	810.771	23	0.300927	70.8593	0.299151	71.2532	1.84092	92.5218	0.176297	0
21	20.0882	816.935	30	0.124764	82.2373	0.123186	52.098	2.57777	82.1813	0.361283	0
8	20.7007	805.462	26	0.181874	70.2691	0.178454	65.6121	2.98333	91.7871	0.367035	0
40	20.0052	825.843	19	0.478377	73.3483	0.171005	68.5384	2.12363	91.6751	0.0603251	0
4	23.1109	779.162	16	0.139561	65.4257	0.0290874	66.017	2.59207	94.9093	0.0999748	0
10	27.5057	780.52	22	0.567622	61.6142	0.309295	84.5404	2.14683	81.9672	0.0559538	0
29	20.4529	782.389	24	0.381669	64.7695	0.177544	78.0447	2.14629	92.8604	0.297671	0
37	21.4412	811.101	30	0.368136	78.1461	0.317691	68.2789	2.22136	95.6285	0.143116	0
8	17.3586	823.613	23	0.240566	81.0207	0.21667	50.7838	2.1218	91.157	0.218224	0
19	17.0141	845.269	29	0.32842	96.3807	0.304444	64.9929	2.92927	87.531	0.254062	0
34	19.9948	819.076	20	0.482773	77.9787	0.330924	68.2574	2.64726	88.9543	0.263753	0
2	22.7935	812.634	20	0.262369	67.5683	0.109835	67.8354	2.53426	89.9791	0.457778	0
19	23.6446	782.29	17	0.267492	82.8736	0.292289	62.4114	2.10235	84.3483	0.46243	0
4	28.1981	826.932	23	0.540793	74.9145	0.0900711	84.3582	2.85037	92.5664	0.197205	0
19	21.9365	774.955	16	0.365038	78.9988	0.279619	65.5841	2.75609	90.2255	0.454703	0
16	16.7975	811.333	30	0.346069	64.3848	0.0970717	57.126	2.44777	91.3692	0.167764	0
11	16.5106	805.953	18	0.367386	73.1399	0.32985	56.9859	2.3179	90.5256	0.23731	0
8	17.3586	823.613	23	0.240566	81.0207	0.232284	50.7838	2.1218	91.157	0.218224	0
4	16.4049	812.894	23	0.560356	82.4446	0.31516	66.8417	2.34278	85.6518	0.372981	0
32	18.3803	840.896	21	0.192738	73.0124	0.103549	70.6808	2.52072	84.1675	0.383091	0
16	20.7314	792.929	26	0.184722	85.1015	0.136995	63.3009	2.8092	94.1602	0.442609	0
4	17.5941	802.764	27	0.335299	95.497	0.260423	85.5536	2.78629	80.0382	0.150762	0
34	26.8153	814.943	26	0.530321	78.6803	0.304069	72.5891	1.80212	88.7823	0.222966	0
23	16.3285	767.116	15	0.394192	64.1376	0.143163	84.2452	2.57636	91.3268	0.343235	0
2	22.2495	824.997	16	0.496589	76.2686	0.310061	84.3066	2.4375	89.4591	0.407402	0
4	18.0372	785.713	20	0.129769	63.2103	0.201557	61.9377	1.87392	87.714	0.25272	0
15	21.0265	803.86	19	0.499237	92.6045	0.0390919	59.818	2.06985	90.6977	0.273582	0
25	20.3228	831.187	27	0.263961	80.9335	0.140616	87.7173	2.56172	82.3108	0.304125	0
27	17.8684	769.262	18	0.341786	73.9761	0.318009	63.9214	1.86411	89.1482	0.278287	0
8	17.8368	810.428	28	0.597659	71.9123	0.126474	54.5227	1.4204	92.27	0.281678	0
