Station	Date	Tmin	Tmax	Tavg	I	RH
6135	29/06/2009	11.6	21.6	17.3	11.7	68.7
6135	30/06/2009	12.7	26.7	20.7	23.1	72.8
6135	1/7/2009	16.1	26.6	21.2	19.2	80.9
6135	2/7/2009	14.4	27.2	21.6	27.9	81.7
6135	3/7/2009	15.1	27.8	21.8	27.6	78.5
6135	4/7/2009	12.2	27.2	20.9	25.5	70.9
6135	5/7/2009	17.1	23.1	19.1	10.7	75.3
6135	6/7/2009	12	22.2	17.8	17.4	81.3
6135	7/7/2009	12.6	21.8	17.4	23.5	67.8
6135	8/7/2009	12.5	20.7	16.7	23.1	62.8
6135	9/7/2009	13.2	19.5	15.9	26.4	73.2
6135	10/7/2009	12.1	17.3	14.4	10.7	73.5
6135	11/7/2009	12.7	18.7	15.3	23.9	78.6
6135	12/7/2009	12.6	19.4	16.2	20.2	79.8
6135	13/07/2009	14.6	21.1	17.9	22	78.9
6135	14/07/2009	13.4	24.2	19.6	25.4	84.5
6135	15/07/2009	13.7	26.7	20.2	21.9	81.4
6135	16/07/2009	14.1	24.4	19.3	24.5	65.8
6135	17/07/2009	10.9	25.9	19	18.4	69.2
6135	18/07/2009	17.2	19.7	17.9	6.5	64.5
6135	19/07/2009	14.7	20.3	17	14	64
6135	20/07/2009	13.3	19.5	15.9	15.7	75.1
6135	21/07/2009	13.5	22.3	17.3	26.9	72.7
6135	22/07/2009	11.3	22.3	18.3	9.8	65.4
6135	23/07/2009	16.1	22.4	18.6	9.9	66.6
6135	24/07/2009	13.3	20.3	16.4	14	69.7
6135	25/07/2009	12.4	20.3	16.5	19.9	69.5
6135	26/07/2009	14.1	20	16.5	19	71.8
6135	27/07/2009	14	25.2	19.6	14.1	76.8
6135	28/07/2009	14	23	18.2	21.1	73.4
6135	29/07/2009	9.9	24.1	18.4	16	74.4
6135	30/07/2009	16.1	20.7	17.9	16.6	77.1
6135	31/07/2009	13.2	21.4	16.9	24	72.8
6135	1/8/2009	6.9	22.4	16.4	22.3	64.9
6135	2/8/2009	15.6	27.2	20.6	15.3	67
6135	3/8/2009	16.3	20.3	17.2	9.8	66.6
6135	4/8/2009	14.7	21.4	17.5	10.3	72.6
6135	5/8/2009	12.3	25.9	19.2	21.5	81.1
6135	6/8/2009	12.1	25.9	19.5	20.3	83.8
6135	7/8/2009	13.5	25.1	19.8	23.4	86.2
6135	8/8/2009	15.8	28.6	21.6	20	84.3
6135	9/8/2009	16.7	27.9	21.9	19.2	70
6135	10/8/2009	17	25.1	20.7	12.6	68.7
6135	11/8/2009	15.1	22.3	18.1	15.1	70.7
6135	12/8/2009	15	21.2	17.5	11.9	63
6135	13/08/2009	13.4	21.4	16.9	19.6	87.3
6135	14/08/2009	12.8	20.1	16.3	21.5	76.4
6135	15/08/2009	13.1	21.9	17.3	10.1	64.9
6135	16/08/2009	15.1	22.5	19.1	19.3	64.3
6135	17/08/2009	15.8	21.1	17.2	10.8	65.1
6135	18/08/2009	13.2	19.9	16	20	58.2
6135	19/08/2009	10.5	22.7	16.9	20.8	62.3
6135	20/08/2009	16.1	28.9	22.6	21.3	68.7
6135	21/08/2009	18.1	22.2	19.3	8.8	81.7
6135	22/08/2009	12.8	20.5	16.4	18.4	82.1
6135	23/08/2009	7.1	21.3	15.7	20.8	85.8
6135	24/08/2009	14.3	23.5	18.8	21.1	79.3
6135	25/08/2009	14.7	23.3	18.8	11.4	84.4
6135	26/08/2009	14	21.1	17.5	17	90.6
6135	27/08/2009	15.3	26	20.8	18.3	83.1
6135	28/08/2009	17	22.6	18.1	7.1	64
6135	29/08/2009	13.4	18	15.4	17.6	86
6135	30/08/2009	12	17.5	14.6	14.1	80.6
6135	31/08/2009	12.5	18.3	16.5	7.9	80.9
6135	1/9/2009	15.8	27	20	18.3	81.6
6135	2/9/2009	14.9	26.36666667	19.8	18.06666667	64.6
6135	3/9/2009	14.72	25.73333333	19.6	17.83333333	72.1
6135	4/9/2009	14.54	25.1	19.4	17.6	64
6135	5/9/2009	14.36	24.46666667	19.2	17.36666667	65.6
6135	6/9/2009	14.18	23.83333333	19	17.13333333	67.8
6135	7/9/2009	14	23.2	18.8	16.9	78.9
6135	8/9/2009	14	23.2	18.8	16.9	72.9
6135	9/9/2009	15.3	22.6	17.9	11.1	82.6
6135	10/9/2009	11.2	19.6	15.1	15	83.7
6135	11/9/2009	9.2	19.4	14.3	15.6	83.7
6135	12/9/2009	7.6	17.5	13.4	12.3	72.1
6135	13/09/2009	11.7	17.5	14.9	13.5	79.1
6135	14/09/2009	11.7	19.2	14.5	13.5	83.3
6135	15/09/2009	10.3	19.1	13.7	13.9	87.2
6135	16/09/2009	6.8	18.2	13	15.9	86.9
6135	17/09/2009	5.3	18.3	12.1	12.9	71.8
6135	18/09/2009	4.4	19	12.1	15.2	73.2
6135	19/09/2009	8.5	21.1	14.6	15.1	78.2
6135	20/09/2009	6.9	22.1	14.6	13.5	82.2
6135	21/09/2009	8.6	17.8	13.8	12.5	79.7
6135	22/09/2009	14	19	15.8	9.2	89.8
6135	23/09/2009	14.1	18	15	8.8	87.9
6135	24/09/2009	11.7	18.7	14	10.4	87.4
6135	25/09/2009	10.4	18.9	14.5	13.3	80.3
6135	26/09/2009	13.7	16.3	15	3.5	81.7
6135	27/09/2009	14.3	16.6	15.2	4.1	80.4
6135	28/09/2009	14.2	17.6	14.9	4.9	82.7
6135	29/09/2009	10.2	12.8	11.2	11.5	70
6135	30/09/2009	6.2	13	10.5	8.2	69.5
6135	1/10/2009	9.1	13.1	10.5	10.9	52.8
6135	2/10/2009	6.9	11.7	8.6	10.3	69.9
6135	3/10/2009	6.8	13.5	11.4	1.5	68.9
6135	4/10/2009	10.3	12.9	11.2	10.1	73.7
6135	5/10/2009	7.7	13.2	10.1	10.3	75.2
6135	6/10/2009	6	14.6	11.5	11.3	66.5
6135	7/10/2009	11.4	15.4	12.1	8.3	57.1
6135	8/10/2009	4.7	13.4	8.9	8.1	59.5
6135	9/10/2009	7	11.2	8.1	9.9	60.7
6135	10/10/2009	2.9	10.6	7.5	4	67.8
6135	11/10/2009	7.2	10.6	8.4	5.2	70.3
6135	12/10/2009	6.3	9.7	6.8	9.3	68.7
6135	13/10/2009	3.1	8.1	5.4	8.9	72.7
6135	14/10/2009	-0.9	7.3	3.5	10.9	74.7
6135	15/10/2009	1.2	8.5	4.4	10.8	76.3
6135	16/10/2009	-0.3	6.9	4.3	2.6	71.7
6135	17/10/2009	3.7	9.5	6.9	6.7	76.7
6135	18/10/2009	0.6	9.9	5.8	8.9	90.5
6135	19/10/2009	3.9	10.7	8.4	4.5	88.5
6135	20/10/2009	7.2	10.3	7.6	8.4	86.2
6135	21/10/2009	2.5	9.8	6.5	2.2	84.7
6135	22/10/2009	5.9	9.8	8.3	2.4	76.2
6135	23/10/2009	7	8.5	7.6	1.1	77.2
6135	24/10/2009	7	8.6	7.6	1.2	83.9
6135	25/10/2009	6.6	13	10.1	3	85.8
6135	26/10/2009	9.3	11.5	10.7	1.4	88.8
6135	27/10/2009	8.7	10.2	8.9	2.7	91.6
6135	28/10/2009	5.1	8.5	7.3	1.3	86.1
6135	29/10/2009	6	7.7	5.8	2.3	62.1
6135	30/10/2009	1.4	8.1	5	2.6	48.7
6135	31/10/2009	3.8	7	5.7	2.4	70
6135	1/11/2009	4.2	6.1	5	2.5	86.5
6135	2/11/2009	4.3	7.8	6.2	0.9	85.3
6135	3/11/2009	4.6	7.3	5.5	0.8	69.7
6135	4/11/2009	2.3	3.9	2.6	0.4	85
6135	5/11/2009	0.8	7.4	4.4	1.4	87.6
6135	6/11/2009	3.1	8.4	7.7	0.7	76.1
6135	7/11/2009	6.6	8.8	7.4	4.2	67.1
6135	8/11/2009	5.1	7.3	6.5	1.1	64.4
6135	9/11/2009	4.9	6.6	5.3	0.9	70.2
