Date	Iabs30	CarbonFixed
2020-01-22	0.479188528181175	0.536691151562916
2020-01-23	0.479188528181175	0.536691151562916
2020-01-24	0.479188528181175	0.536691151562916
2020-01-25	0.479188528181175	0.536691151562916
2020-01-26	0.479188528181175	0.536691151562916
2020-01-27	0.479188528181175	0.536691151562916
2020-01-28	0.479188528181175	0.536691151562916
2020-01-29	0.479188528181175	0.536691151562916
2020-01-30	0.479188528181175	0.536691151562916
2020-01-31	0.479188528181175	0.536691151562916
2020-02-01	0.479188528181175	0.536691151562916
2020-02-02	0.479188528181175	0.536691151562916
2020-02-03	0.479188528181175	0.536691151562916
2020-02-04	0.479188528181175	0.536691151562916
2020-02-05	0.479188528181175	0.536691151562916
2020-02-06	0.479188528181175	0.536691151562916
2020-02-07	0.479188528181175	0.536691151562916
2020-02-08	0.479188528181175	0.536691151562916
2020-02-09	0.479188528181175	0.536691151562916
2020-02-10	0.479188528181175	0.536691151562916
2020-02-11	0.479188528181175	0.536691151562916
2020-02-12	0.479188528181175	0.536691151562916
2020-02-13	0.479188528181175	0.536691151562916
2020-02-14	0.479188528181175	0.536691151562916
2020-02-15	0.479188528181175	0.536691151562916
2020-02-16	0.479188528181175	0.536691151562916
2020-02-17	0.479188528181175	0.536691151562916
2020-02-18	0.479188528181175	0.536691151562916
2020-02-19	0.479188528181175	0.536691151562916
2020-02-20	0.479188528181175	0.536691151562916
2020-02-21	0.479188528181175	0.536691151562916
2020-02-22	0.479188528181175	0.536691151562916
2020-02-23	0.479188528181175	0.536691151562916
2020-02-24	0.479188528181175	0.536691151562916
2020-02-25	0.479188528181175	0.536691151562916
2020-02-26	0.479188528181175	0.536691151562916
2020-02-27	2.55775109331864	2.86468122451687
2020-02-28	2.55775109331864	2.86468122451687
2020-02-29	2.55775109331864	2.86468122451687
2020-03-01	2.55775109331864	2.86468122451687
2020-03-02	2.55775109331864	2.86468122451687
2020-03-03	2.55775109331864	2.86468122451687
2020-03-04	2.55775109331864	2.86468122451687
2020-03-05	2.55775109331864	2.86468122451687
2020-03-06	2.55775109331864	2.86468122451687
2020-03-07	2.55775109331864	2.86468122451687
2020-03-08	2.55775109331864	2.86468122451687
2020-03-09	2.55775109331864	2.86468122451687
2020-03-10	2.55775109331864	2.86468122451687
2020-03-11	2.55775109331864	2.86468122451687
2020-03-12	2.55775109331864	2.86468122451687
2020-03-13	2.55775109331864	2.86468122451687
2020-03-14	2.55775109331864	2.86468122451687
2020-03-15	2.55775109331864	2.86468122451687
2020-03-16	2.55775109331864	2.86468122451687
2020-03-17	2.55775109331864	2.86468122451687
2020-03-18	2.55775109331864	2.86468122451687
2020-03-19	2.55775109331864	2.86468122451687
2020-03-20	2.55775109331864	2.86468122451687
2020-03-21	2.55775109331864	2.86468122451687
2020-03-22	2.55775109331864	2.86468122451687
2020-03-23	2.55775109331864	2.86468122451687
2020-03-24	2.55775109331864	2.86468122451687
2020-03-25	2.55775109331864	2.86468122451687
2020-03-26	8.84514451438513	9.90656185611135
2020-03-27	8.84514451438513	9.90656185611135
2020-03-28	8.84514451438513	9.90656185611135
2020-03-29	8.84514451438513	9.90656185611135
2020-03-30	8.84514451438513	9.90656185611135
2020-03-31	8.84514451438513	9.90656185611135
2020-04-01	8.84514451438513	9.90656185611135
2020-04-02	8.84514451438513	9.90656185611135
2020-04-03	8.84514451438513	9.90656185611135
2020-04-04	8.84514451438513	9.90656185611135
2020-04-05	8.84514451438513	9.90656185611135
2020-04-06	8.84514451438513	9.90656185611135
2020-04-07	8.84514451438513	9.90656185611135
2020-04-08	8.84514451438513	9.90656185611135
2020-04-09	8.84514451438513	9.90656185611135
2020-04-10	8.84514451438513	9.90656185611135
2020-04-11	8.84514451438513	9.90656185611135
2020-04-12	8.84514451438513	9.90656185611135
2020-04-13	8.84514451438513	9.90656185611135
2020-04-14	8.84514451438513	9.90656185611135
2020-04-15	8.84514451438513	9.90656185611135
2020-04-16	8.84514451438513	9.90656185611135
2020-04-17	8.84514451438513	9.90656185611135
2020-04-18	8.84514451438513	9.90656185611135
2020-04-19	8.84514451438513	9.90656185611135
2020-04-20	8.84514451438513	9.90656185611135
2020-04-21	8.84514451438513	9.90656185611135
2020-04-22	8.84514451438513	9.90656185611135
2020-04-23	8.84514451438513	9.90656185611135
2020-04-24	8.84514451438513	9.90656185611135
2020-04-25	8.84514451438513	9.90656185611135
2020-04-26	8.84514451438513	9.90656185611135
2020-04-27	8.84514451438513	9.90656185611135
2020-04-28	14.6240634471052	16.3789510607579
2020-04-29	14.6240634471052	16.3789510607579
2020-04-30	14.6240634471052	16.3789510607579
2020-05-01	14.6240634471052	16.3789510607579
2020-05-02	14.6240634471052	16.3789510607579
2020-05-03	14.6240634471052	16.3789510607579
2020-05-04	14.6240634471052	16.3789510607579
2020-05-05	14.6240634471052	16.3789510607579
2020-05-06	14.6240634471052	16.3789510607579
2020-05-07	14.6240634471052	16.3789510607579
2020-05-08	14.6240634471052	16.3789510607579
2020-05-09	14.6240634471052	16.3789510607579
2020-05-10	14.6240634471052	16.3789510607579
2020-05-11	14.6240634471052	16.3789510607579
2020-05-12	14.6240634471052	16.3789510607579
2020-05-13	14.6240634471052	16.3789510607579
2020-05-14	14.6240634471052	16.3789510607579
2020-05-15	14.6240634471052	16.3789510607579
2020-05-16	14.6240634471052	16.3789510607579
2020-05-17	14.6240634471052	16.3789510607579
2020-05-18	14.6240634471052	16.3789510607579
2020-05-19	14.6240634471052	16.3789510607579
2020-05-20	14.6240634471052	16.3789510607579
2020-05-21	14.6240634471052	16.3789510607579
