Date	Precip	Tair	RH	Twater
1/1/1950	0	-3.6	95	4.6
2/1/1950	6.9	-1.8	97	5.4
3/1/1950	2.3	1.4	98	6.2
4/1/1950	7.4	1.4	98	6.3
5/1/1950	6	5	97	7.3
6/1/1950	0	3.4	97	6.6
7/1/1950	0	3.2	90	6.4
8/1/1950	0	0.8	89	5.7
9/1/1950	0	3.3	89	6.5
10/1/1950	0.9	5.8	100	7.4
11/1/1950	0.3	6.6	100	7.6
12/1/1950	0.5	6	97	7.4
13/1/1950	0	0.5	97	5.8
14/1/1950	1.6	1.6	97	6.2
15/1/1950	0.8	3	99	6.6
16/1/1950	12	2.8	97	6.9
17/1/1950	0	0	97	5.7
18/1/1950	0	-1.1	100	5.4
19/1/1950	0	-7	96	3.7
20/1/1950	0	-5.4	95	4.1
21/1/1950	0	-5.8	99	4
22/1/1950	0	-4.2	95	4.4
23/1/1950	0	-4.3	92	4.4
24/1/1950	0	-7.6	92	3.4
25/1/1950	0	-3.4	90	4.6
26/1/1950	0	-1.4	96	5.2
27/1/1950	0	-1.2	96	5.3
28/1/1950	0	-3.7	99	4.6
29/1/1950	0	-7.6	96	3.5
30/1/1950	0	-5.8	94	4
31/1/1950	1.7	-0.8	100	5.5
1/2/1950	1.5	1.4	100	6.2
2/2/1950	0	1.4	98	6.1
3/2/1950	5.6	3.5	99	6.9
4/2/1950	1.6	6.1	99	7.5
5/2/1950	11.4	6	99	7.8
6/2/1950	4.4	6.2	99	7.6
7/2/1950	0.6	2.4	99	6.4
8/2/1950	17.5	1.9	99	6.9
9/2/1950	14.9	0.4	100	6.4
10/2/1950	4.7	9.1	99	8.4
11/2/1950	4.4	5.9	98	7.5
12/2/1950	1	4.6	100	7
13/2/1950	4.2	6.2	100	7.6
14/2/1950	3.4	1.6	100	6.3
15/2/1950	0.7	3.9	100	6.8
16/2/1950	0	7.4	78	7.4
17/2/1950	0	4.4	99	6.9
18/2/1950	0	6.5	99	7.5
19/2/1950	0	7.2	98	7.7
20/2/1950	6.6	8	98	8.2
21/2/1950	1.5	4	99	6.9
22/2/1950	0	1.1	98	6
23/2/1950	2.3	4.8	99	7.1
24/2/1950	1.3	7	99	7.7
25/2/1950	8.8	6	100	7.7
26/2/1950	6.7	-0.4	99	5.8
27/2/1950	0.3	-4.4	98	4.4
28/2/1950	0	-4.5	97	4.4
1/3/1950	0	-3.6	96	4.6
2/3/1950	0	-3.8	99	4.6
3/3/1950	0	-0.4	99	5.6
4/3/1950	0	1.6	99	6.1
5/3/1950	0	3.4	97	6.6
6/3/1950	0	6.4	99	7.5
7/3/1950	0	6.7	98	7.6
8/3/1950	0	9.6	99	8.4
9/3/1950	1.7	8	96	8
10/3/1950	2	4.7	99	7.1
11/3/1950	0	2.8	99	6.5
12/3/1950	4.6	2.7	98	6.6
13/3/1950	0	1.7	98	6.2
14/3/1950	0	3.8	98	6.7
15/3/1950	0	8.4	99	8.1
16/3/1950	0	8.8	100	8.2
17/3/1950	1.9	10.2	98	8.6
18/3/1950	0	10.6	95	8.6
19/3/1950	0	8.8	95	8.1
20/3/1950	1.4	7.4	98	7.8
21/3/1950	6.7	6.2	100	7.7
22/3/1950	0	6.6	98	7.5
23/3/1950	0.4	7.6	97	7.8
24/3/1950	1.1	9	99	8.3
25/3/1950	0	6.9	97	7.6
26/3/1950	0	7.3	98	7.7
27/3/1950	0	8.4	97	8
28/3/1950	0	9.6	98	8.4
29/3/1950	0	4.8	96	7
30/3/1950	0	3.8	97	6.7
31/3/1950	0	4.4	98	6.9
1/4/1950	0	5.7	98	7.3
2/4/1950	9.6	5.7	97	7.6
3/4/1950	1.2	4.6	100	7.1
4/4/1950	1.4	4.1	99	6.9
5/4/1950	1.8	6.1	98	7.5
6/4/1950	0	4.2	99	6.9
7/4/1950	0	8.6	96	8.1
8/4/1950	0	14.6	98	9.8
9/4/1950	5.2	8	97	8.1
10/4/1950	11.2	6	97	7.8
11/4/1950	1.9	4.4	96	7
