Date	Precip	Tair	RH	Twater
1/1/1985	3.2	0	95	5.7
2/1/1985	0.7	-2.9	82	4.6
3/1/1985	11.1	-3.6	90	4.9
4/1/1985	0	-10.2	77	2.4
5/1/1985	0.7	-9.5	83	2.8
6/1/1985	0	-12.4	85	1.9
7/1/1985	0	-12.7	82	1.8
8/1/1985	0	-15.4	91	1.2
9/1/1985	0.7	-10.8	83	2.4
10/1/1985	0	-9.1	88	2.9
11/1/1985	0	-10.4	89	2.6
12/1/1985	2	-9.6	90	2.9
13/1/1985	0	-10.2	78	2.4
14/1/1985	0	-10	78	2.5
15/1/1985	0	-8.5	86	3.1
16/1/1985	0	-6.4	89	3.7
17/1/1985	0	-5.6	95	4
18/1/1985	0	-5.2	91	4.1
19/1/1985	1.3	-1.8	88	5
20/1/1985	2	-1.2	93	5.3
21/1/1985	3.3	1.8	96	6.3
22/1/1985	8.2	4.6	96	7.2
23/1/1985	2.2	1	91	5.9
24/1/1985	0	0.2	85	5.5
25/1/1985	9.4	1.5	76	6.1
26/1/1985	1.3	6.2	82	7.2
27/1/1985	0	-1	78	5
28/1/1985	0	-0.5	79	5.2
29/1/1985	3.4	1.2	90	6
30/1/1985	2	4.4	97	7
31/1/1985	1.9	6.8	86	7.5
1/2/1985	1.9	8.8	96	8.2
2/2/1985	8.9	8.7	87	8.3
3/2/1985	0	2.1	75	5.9
4/2/1985	0	0.8	59	5.2
5/2/1985	0	1.2	85	5.8
6/2/1985	3.8	7	93	7.7
7/2/1985	0	1.2	76	5.6
8/2/1985	9.6	-0.8	82	5.5
9/2/1985	17.2	-1.9	95	5.7
10/2/1985	0	-8.6	80	2.9
11/2/1985	0	-9.8	71	2.4
12/2/1985	0	-10	69	2.3
13/2/1985	3.8	-7.7	77	3.3
14/2/1985	0	-4.3	91	4.3
15/2/1985	0	-6.9	65	3.2
16/2/1985	0	-6.1	64	3.4
17/2/1985	0	-2.8	58	4.2
18/2/1985	0	-6.6	66	3.3
19/2/1985	0	-8.1	66	2.8
20/2/1985	0	-9.1	62	2.5
21/2/1985	0	-4.4	67	3.9
22/2/1985	0	-1.8	85	4.9
23/2/1985	0	0.4	74	5.4
24/2/1985	0	3	65	6
25/2/1985	0	2	83	6
26/2/1985	0	4	77	6.4
27/2/1985	0	3	81	6.2
28/2/1985	0	1.8	88	6
1/3/1985	2.2	4.8	87	6.9
2/3/1985	1.2	5	92	7
3/3/1985	0	5.1	79	6.8
4/3/1985	0	5.2	86	6.9
5/3/1985	1.5	6	93	7.3
6/3/1985	0	5.4	88	7
7/3/1985	0	5.4	85	7
8/3/1985	0	3.4	82	6.4
9/3/1985	0	2.8	93	6.4
10/3/1985	0	3.2	77	6.2
11/3/1985	0	1.8	85	6
12/3/1985	0	1.2	75	5.6
13/3/1985	0	3.8	73	6.3
14/3/1985	3.7	1.9	86	6.1
15/3/1985	1.1	1.4	83	5.9
16/3/1985	6	1.2	94	6.2
17/3/1985	6.9	0.6	84	5.9
18/3/1985	1.5	-0.4	78	5.3
19/3/1985	0.3	-0.7	87	5.3
20/3/1985	0	0.9	75	5.5
21/3/1985	0	2	76	5.9
22/3/1985	0.8	5.1	75	6.8
23/3/1985	2.2	4.2	85	6.7
24/3/1985	0.8	4.6	84	6.8
25/3/1985	1.5	9.2	62	7.7
26/3/1985	4.9	8.4	78	7.9
27/3/1985	1.1	5.3	78	6.9
28/3/1985	1.3	2	78	5.9
29/3/1985	0	5.9	58	6.7
30/3/1985	0	10.8	45	7.8
31/3/1985	1.5	9.1	80	8
1/4/1985	0	12.2	66	8.6
2/4/1985	0	11.7	59	8.3
3/4/1985	0	12.8	64	8.7
4/4/1985	0	13.9	58	8.9
5/4/1985	0	16.3	39	9.3
6/4/1985	2	8.8	83	8
7/4/1985	5.3	11.7	61	8.5
8/4/1985	2.9	9.4	70	8
9/4/1985	2.1	6.2	92	7.4
10/4/1985	0.8	7.6	82	7.6
11/4/1985	2.2	7.4	75	7.5
12/4/1985	4.7	6.4	70	7.2
13/4/1985	11.8	4.8	91	7.3
14/4/1985	2.1	5.9	82	7.1
15/4/1985	1.2	5.9	77	7
