Date	Precip	Tair	RH	Twater
1/1/1951	9.1	1.8	86	6.3
2/1/1951	15	1.6	90	6.5
3/1/1951	0	2	82	6
4/1/1951	2.2	2.3	81	6.1
5/1/1951	0	5	84	6.8
6/1/1951	0.1	5.2	68	6.6
7/1/1951	2.1	7.1	82	7.5
8/1/1951	0	6.8	84	7.4
9/1/1951	0	4.5	74	6.5
10/1/1951	0	1.6	76	5.7
11/1/1951	2.6	7	74	7.3
12/1/1951	0	4.7	82	6.7
13/1/1951	1.2	4.7	79	6.7
14/1/1951	0.2	6.6	77	7.2
15/1/1951	14.2	3.9	79	7
16/1/1951	0	4	80	6.5
17/1/1951	3.9	3.8	84	6.7
18/1/1951	7	6.4	78	7.4
19/1/1951	9.7	5.8	73	7.2
20/1/1951	10.4	8.7	82	8.2
21/1/1951	11.3	3.5	87	6.9
22/1/1951	0	5.7	87	7.1
23/1/1951	0	5.7	84	7
24/1/1951	0	4.7	81	6.7
25/1/1951	0	2.6	82	6.1
26/1/1951	0	2.3	86	6.1
27/1/1951	0	4	91	6.7
28/1/1951	0	4	86	6.6
29/1/1951	0	3.1	87	6.4
30/1/1951	0	2.8	84	6.2
31/1/1951	0	2.9	90	6.4
1/2/1951	0	3.8	83	6.5
2/2/1951	0	3.8	82	6.5
3/2/1951	0.6	2.8	79	6.2
4/2/1951	8.6	4.6	80	7
5/2/1951	1.4	4.6	87	6.8
6/2/1951	0	4.2	88	6.7
7/2/1951	0	4.6	82	6.7
8/2/1951	0	5.2	84	6.9
9/2/1951	1.2	6.8	84	7.4
10/2/1951	0	5.9	84	7.1
11/2/1951	0	5.1	84	6.9
12/2/1951	0	5.2	83	6.9
13/2/1951	0.1	3.2	85	6.4
14/2/1951	0	6.6	77	7.2
15/2/1951	0	3.8	90	6.6
16/2/1951	0	-0.3	92	5.5
17/2/1951	12.7	7.2	87	8
18/2/1951	0	3.6	84	6.5
19/2/1951	4.5	3.6	84	6.6
20/2/1951	6.5	5.6	88	7.3
21/2/1951	8.9	5.3	83	7.2
22/2/1951	2.3	4.4	80	6.7
23/2/1951	0.1	3.4	78	6.3
24/2/1951	0	2.4	80	6
25/2/1951	0	3.4	84	6.4
26/2/1951	1.7	2.4	84	6.2
27/2/1951	2.9	2.8	86	6.4
28/2/1951	0	1.3	77	5.7
1/3/1951	2	1.2	71	5.6
2/3/1951	1.8	0.3	84	5.6
3/3/1951	0	-0.6	82	5.2
4/3/1951	0	-0.1	75	5.3
5/3/1951	0	0.4	64	5.2
6/3/1951	0	-0.4	69	5.1
7/3/1951	0	3.8	62	6.1
8/3/1951	0.1	3.8	80	6.4
9/3/1951	1.6	1.1	87	5.9
10/3/1951	0	3.4	87	6.4
11/3/1951	1.8	4.6	81	6.7
12/3/1951	0	7.3	67	7.2
13/3/1951	6.9	9.5	67	8.1
14/3/1951	1.8	8.7	63	7.6
15/3/1951	0	7.3	70	7.3
16/3/1951	5	9.3	65	7.9
17/3/1951	6.4	14	75	9.5
18/3/1951	2.6	12.2	72	8.8
19/3/1951	4.2	8.9	74	7.9
20/3/1951	0	4	65	6.2
21/3/1951	0	2.2	58	5.6
22/3/1951	1.4	4.6	67	6.5
23/3/1951	4	12.8	63	8.8
24/3/1951	6.7	4.7	73	6.8
25/3/1951	1.3	2	69	5.8
26/3/1951	0.5	2.7	80	6.1
27/3/1951	3	6.4	73	7.2
28/3/1951	0	4.6	59	6.3
29/3/1951	0	3.6	64	6.1
30/3/1951	0.6	6.2	56	6.7
31/3/1951	0	5.2	75	6.8
1/4/1951	0	6.7	67	7
2/4/1951	1.7	6.9	67	7.2
3/4/1951	0.9	6.7	69	7.1
4/4/1951	0	8.6	57	7.4
5/4/1951	0	9.1	70	7.8
6/4/1951	0	11.3	66	8.3
7/4/1951	6.2	11.6	68	8.7
8/4/1951	3.1	8.1	69	7.6
9/4/1951	14.4	7	66	7.6
10/4/1951	0	7.5	57	7.1
11/4/1951	0.1	5	65	6.5
12/4/1951	0	6.8	59	6.9
13/4/1951	1.5	8.8	62	7.6
14/4/1951	2.8	6	70	7
15/4/1951	0	4.8	62	6.4
16/4/1951	0	10.7	53	7.9
17/4/1951	0	10.7	57	8
18/4/1951	0.1	12.2	55	8.4
19/4/1951	0	13.6	63	8.9
20/4/1951	0	8.8	63	7.6
21/4/1951	0	9.2	50	7.5
22/4/1951	0	9.5	40	7.4
23/4/1951	0	12.4	30	8
24/4/1951	0	15.4	25	8.8
25/4/1951	0	17.3	38	9.5
26/4/1951	1.2	16.8	55	9.7
27/4/1951	6.1	12.1	80	9
28/4/1951	0	6.2	69	6.9
29/4/1951	0	5.1	71	6.7
30/4/1951	0	7.3	65	7.2
1/5/1951	0	13.2	46	8.5
2/5/1951	0	12.5	52	8.4
