Date	Tavg
22/10/2009	8.3
23/10/2009	7.6
24/10/2009	7.6
25/10/2009	10.1
26/10/2009	10.7
27/10/2009	8.9
28/10/2009	7.3
29/10/2009	5.8
30/10/2009	5
31/10/2009	5.7
01/11/2009	5
02/11/2009	6.2
03/11/2009	5.5
04/11/2009	2.6
05/11/2009	4.4
06/11/2009	7.7
07/11/2009	7.4
08/11/2009	6.5
09/11/2009	5.3
