Date	Time	T	I	N	U
31/12/2016	23:05:00	5.627213955	0	0.01173871	0
01/01/2017	00:05:00	5.514791489	0	0.01177912	0.097330235
01/01/2017	01:05:00	5.407077789	0	0.011820617	0.112044359
01/01/2017	02:05:00	5.300373554	0	0.011998296	0.054112144
01/01/2017	03:05:00	5.188408375	0	0.01258477	0.079890194
01/01/2017	04:05:00	5.062842846	0	0.01282668	0.104159425
01/01/2017	05:05:00	4.951554298	0	0.01263526	0.108631225
01/01/2017	06:05:00	4.862271309	0	0.01239422	0.125123148
01/01/2017	07:05:00	4.829778671	0	0.012079602	0.134964601
01/01/2017	08:05:00	4.859560013	8.27610302	0.011602856	0.134410134
01/01/2017	09:05:00	4.927458286	29.09998703	0.011256007	0.127259663
01/01/2017	10:05:00	5.019360542	38.88108444	0.010974581	0.124444932
01/01/2017	11:05:00	5.12025404	44.67797089	0.010761024	0.113957031
01/01/2017	12:05:00	5.211143494	40.80942154	0.010717159	0.107545274
01/01/2017	13:05:00	5.281839371	22.2271843	0.0107287	0.096496604
01/01/2017	14:05:00	5.330246449	0.867073178	0.010767211	0.088151641
01/01/2017	15:05:00	5.343701363	0	0.010899829	0.082146084
01/01/2017	16:05:00	5.315039635	0	0.011066425	0.068407349
01/01/2017	17:05:00	5.249540329	0	0.011286858	0.057858641
01/01/2017	18:05:00	5.112421036	0	0.011493722	0.056822604
01/01/2017	19:05:00	4.982990265	0	0.011547376	0.052046861
01/01/2017	20:05:00	4.871119499	0	0.011511003	0.051871833
01/01/2017	21:05:00	4.78980732	0	0.011365404	0.057107173
01/01/2017	22:05:00	4.727971077	0	0.011139987	0.062787405
01/01/2017	23:05:00	4.624411106	0	0.011126898	0.056561142
02/01/2017	00:05:00	4.497750282	0	0.011402653	0.045007079
02/01/2017	01:05:00	4.350782871	0	0.011789598	0.031495749
02/01/2017	02:05:00	4.182542324	0	0.012283006	0.034017365
02/01/2017	03:05:00	4.013357162	0	0.012708283	0.047473814
02/01/2017	04:05:00	3.867438316	0	0.012880362	0.069162294
02/01/2017	05:05:00	3.785229206	0	0.012732286	0.089912947
02/01/2017	06:05:00	3.779420376	0	0.01240928	0.097607489
02/01/2017	07:05:00	3.896328688	0	0.012101918	0.097213445
02/01/2017	08:05:00	4.11946106	26.93753815	0.011827426	0.093055376
02/01/2017	09:05:00	4.434693813	61.61803055	0.011525163	0.084621944
02/01/2017	10:05:00	4.78178215	81.88578796	0.011250909	0.076352412
02/01/2017	11:05:00	5.106624126	83.84780884	0.011107694	0.075337392
02/01/2017	12:05:00	5.395812511	67.82730103	0.011072617	0.077812193
02/01/2017	13:05:00	5.639537334	36.13950348	0.011167287	0.084062586
02/01/2017	14:05:00	5.830276489	1.426901221	0.011410459	0.089130277
02/01/2017	15:05:00	5.958231926	0	0.011729714	0.105284891
02/01/2017	16:05:00	6.009352684	0	0.012012859	0.119504425
02/01/2017	17:05:00	5.977643013	0	0.01200144	0.118122636
02/01/2017	18:05:00	5.859807491	0	0.011727647	0.111256678
02/01/2017	19:05:00	5.747685432	0	0.0114375	0.106497588
02/01/2017	20:05:00	5.64029789	0	0.011183167	0.0974298
02/01/2017	21:05:00	5.538154125	0	0.010961511	0.089337161
02/01/2017	22:05:00	5.438746929	0	0.010813114	0.077759673
02/01/2017	23:05:00	5.335015774	0	0.010762206	0.075664789
03/01/2017	00:05:00	5.237094879	0	0.010741616	0.069797878
03/01/2017	01:05:00	5.154419899	0	0.01070213	0.061427243
03/01/2017	02:05:00	5.054457664	0	0.010754687	0.05823396
03/01/2017	03:05:00	4.912503719	0	0.011022468	0.070226254
03/01/2017	04:05:00	4.759931564	0	0.01136144	0.082074248
03/01/2017	05:05:00	4.63917017	0	0.011450369	0.082980096
03/01/2017	06:05:00	4.590811729	0	0.011296138	0.085903882
03/01/2017	07:05:00	4.599289417	0	0.011104022	0.085772325
03/01/2017	08:05:00	4.661347866	11.03411865	0.010874668	0.08518627
03/01/2017	09:05:00	4.787322998	17.69356537	0.010586757	0.073072145
03/01/2017	10:05:00	4.93003273	34.39420319	0.010319691	0.059668925
03/01/2017	11:05:00	5.023997784	37.19103241	0.010209487	0.057849386
03/01/2017	12:05:00	5.058246613	15.60420227	0.010299882	0.063421634
03/01/2017	13:05:00	5.065529823	16.32504272	0.01051856	0.06287772
03/01/2017	14:05:00	5.051248074	1.119775653	0.01083225	0.050567063
03/01/2017	15:05:00	5.118447304	0	0.011137145	0.03964304
03/01/2017	16:05:00	5.153646946	0	0.011361401	0.032465292
03/01/2017	17:05:00	5.0826087	0	0.011646186	0.026424745
03/01/2017	18:05:00	4.911655426	0	0.012034853	0.029347561
03/01/2017	19:05:00	4.770700455	0	0.012272444	0.015939428
03/01/2017	20:05:00	4.674883842	0	0.012381855	0.049356829
03/01/2017	21:05:00	4.590128899	0	0.012359648	0.089714716
03/01/2017	22:05:00	4.507218838	0	0.012279305	0.106034338
03/01/2017	23:05:00	4.430880547	0	0.012240309	0.101183265
04/01/2017	00:05:00	4.364284992	0	0.012145319	0.098144884
04/01/2017	01:05:00	4.303699493	0	0.011917021	0.107886783
04/01/2017	02:05:00	4.282002449	0	0.011639111	0.111025094
04/01/2017	03:05:00	4.271679878	0	0.011375151	0.111333524
04/01/2017	04:05:00	4.245868683	0	0.011155237	0.095346593
04/01/2017	05:05:00	4.187440395	0	0.011023007	0.081416124
04/01/2017	06:05:00	4.139019489	0	0.010928203	0.07625839
04/01/2017	07:05:00	4.180953503	0	0.010825222	0.083807291
04/01/2017	08:05:00	4.304155827	27.59280777	0.010724707	0.087562232
04/01/2017	09:05:00	4.492930889	62.71370316	0.010624954	0.088686641
