Date	Time	T	I	N	S	U
01/01/2017	00:05:00	5.627213955	0	0	23.70984268	0
01/01/2017	01:05:00	5.514791489	0	0	23.70068169	0.097330235
01/01/2017	02:05:00	5.407077789	0	0	23.68310165	0.112044359
01/01/2017	03:05:00	5.300373554	0	0	23.67120743	0.054112144
01/01/2017	04:05:00	5.188408375	0	0	23.65327644	0.079890194
01/01/2017	05:05:00	5.062842846	0	0	23.58430862	0.104159425
01/01/2017	06:05:00	4.951554298	0	0	23.54192543	0.108631225
01/01/2017	07:05:00	4.862271309	0	0	23.49944878	0.125123148
01/01/2017	08:05:00	4.829778671	0	0	23.47360992	0.134964601
01/01/2017	09:05:00	4.859560013	8.27610302	0	23.48275757	0.134410134
01/01/2017	10:05:00	4.927458286	29.09998703	0	23.48534393	0.127259663
01/01/2017	11:05:00	5.019360542	38.88108444	0	23.48874474	0.124444932
01/01/2017	12:05:00	5.12025404	44.67797089	0	23.49129295	0.113957031
01/01/2017	13:05:00	5.211143494	40.80942154	0	23.472929	0.107545274
01/01/2017	14:05:00	5.281839371	22.2271843	0	23.43775368	0.096496604
01/01/2017	15:05:00	5.330246449	0.867073178	0	23.39224434	0.088151641
01/01/2017	16:05:00	5.343701363	0	0	23.31962204	0.082146084
01/01/2017	17:05:00	5.315039635	0	0	23.22575569	0.068407349
01/01/2017	18:05:00	5.249540329	0	0	23.10501289	0.057858641
01/01/2017	19:05:00	5.112421036	0	0	22.97488976	0.056822604
01/01/2017	20:05:00	4.982990265	0	0	22.89855957	0.052046861
01/01/2017	21:05:00	4.871119499	0	0	22.85954666	0.051871833
01/01/2017	22:05:00	4.78980732	0	0	22.86596298	0.057107173
01/01/2017	23:05:00	4.727971077	0	0	22.90964699	0.062787405
02/01/2017	00:05:00	4.624411106	0	0	22.88181114	0.056561142
02/01/2017	01:05:00	4.497750282	0	0	22.74335289	0.045007079
02/01/2017	02:05:00	4.350782871	0	0	22.54820633	0.031495749
02/01/2017	03:05:00	4.182542324	0	0	22.29384232	0.034017365
02/01/2017	04:05:00	4.013357162	0	0	22.06940842	0.047473814
02/01/2017	05:05:00	3.867438316	0	0	21.97113037	0.069162294
02/01/2017	06:05:00	3.785229206	0	0	22.02959824	0.089912947
02/01/2017	07:05:00	3.779420376	0	0	22.17633438	0.097607489
02/01/2017	08:05:00	3.896328688	0	0	22.32068062	0.097213445
02/01/2017	09:05:00	4.11946106	26.93753815	0	22.44937325	0.093055376
02/01/2017	10:05:00	4.434693813	61.61803055	0	22.58318901	0.084621944
02/01/2017	11:05:00	4.78178215	81.88578796	0	22.69861221	0.076352412
02/01/2017	12:05:00	5.106624126	83.84780884	0	22.75800323	0.075337392
02/01/2017	13:05:00	5.395812511	67.82730103	0	22.77298355	0.077812193
02/01/2017	14:05:00	5.639537334	36.13950348	0	22.734375	0.084062586
02/01/2017	15:05:00	5.830276489	1.426901221	0	22.63429451	0.089130277
02/01/2017	16:05:00	5.958231926	0	0	22.50370407	0.105284891
02/01/2017	17:05:00	6.009352684	0	0	22.39182854	0.119504425
02/01/2017	18:05:00	5.977643013	0	0	22.4081974	0.118122636
02/01/2017	19:05:00	5.859807491	0	0	22.53736115	0.111256678
02/01/2017	20:05:00	5.747685432	0	0	22.67116547	0.106497588
02/01/2017	21:05:00	5.64029789	0	0	22.78612709	0.0974298
02/01/2017	22:05:00	5.538154125	0	0	22.88084793	0.089337161
02/01/2017	23:05:00	5.438746929	0	0	22.93946457	0.077759673
03/01/2017	00:05:00	5.335015774	0	0	22.95461655	0.075664789
03/01/2017	01:05:00	5.237094879	0	0	22.9551754	0.069797878
03/01/2017	02:05:00	5.154419899	0	0	22.96078491	0.061427243
03/01/2017	03:05:00	5.054457664	0	0	22.93013191	0.05823396
03/01/2017	04:05:00	4.912503719	0	0	22.81615639	0.070226254
03/01/2017	05:05:00	4.759931564	0	0	22.67504311	0.082074248
03/01/2017	06:05:00	4.63917017	0	0	22.63495636	0.082980096
03/01/2017	07:05:00	4.590811729	0	0	22.68935013	0.085903882
03/01/2017	08:05:00	4.599289417	0	0	22.75954628	0.085772325
03/01/2017	09:05:00	4.661347866	11.03411865	0	22.84246826	0.08518627
03/01/2017	10:05:00	4.787322998	17.69356537	0	22.94470787	0.073072145
03/01/2017	11:05:00	4.93003273	34.39420319	0	23.034832	0.059668925
03/01/2017	12:05:00	5.023997784	37.19103241	0	23.06613541	0.057849386
03/01/2017	13:05:00	5.058246613	15.60420227	0	23.02718353	0.063421634
03/01/2017	14:05:00	5.065529823	16.32504272	0	22.94085884	0.06287772
03/01/2017	15:05:00	5.051248074	1.119775653	0	22.82048798	0.050567063
03/01/2017	16:05:00	5.118447304	0	0	22.70539856	0.03964304
03/01/2017	17:05:00	5.153646946	0	0	22.62075996	0.032465292
03/01/2017	18:05:00	5.0826087	0	0	22.51343727	0.026424745
03/01/2017	19:05:00	4.911655426	0	0	22.36922836	0.029347561
03/01/2017	20:05:00	4.770700455	0	0	22.2760334	0.015939428
03/01/2017	21:05:00	4.674883842	0	0	22.21789551	0.049356829
03/01/2017	22:05:00	4.590128899	0	0	22.19038963	0.089714716
03/01/2017	23:05:00	4.507218838	0	0	22.17766571	0.106034338
04/01/2017	00:05:00	4.430880547	0	0	22.15909767	0.101183265
04/01/2017	01:05:00	4.364284992	0	0	22.16981125	0.098144884
04/01/2017	02:05:00	4.303699493	0	0	22.22786713	0.107886783
04/01/2017	03:05:00	4.282002449	0	0	22.30666924	0.111025094
04/01/2017	04:05:00	4.271679878	0	0	22.38803673	0.111333524
04/01/2017	05:05:00	4.245868683	0	0	22.46303558	0.095346593
04/01/2017	06:05:00	4.187440395	0	0	22.51508522	0.081416124
04/01/2017	07:05:00	4.139019489	0	0	22.55844688	0.07625839
04/01/2017	08:05:00	4.180953503	0	0	22.60760307	0.083807291
04/01/2017	09:05:00	4.304155827	27.59280777	0	22.65752029	0.087562232
04/01/2017	10:05:00	4.492930889	62.71370316	0	22.71004295	0.088686641
04/01/2017	11:05:00	4.722293377	83.2250824	0	22.74259949	0.071231968
04/01/2017	12:05:00	4.973818302	85.52313995	0	22.76161385	0.07020968
04/01/2017	13:05:00	5.249623299	69.57028961	0	22.83108139	0.085629584
04/01/2017	14:05:00	5.515358925	38.10995865	0	22.91594696	0.083571027
04/01/2017	15:05:00	5.704479694	2.448043823	0	22.97519302	0.065890766
04/01/2017	16:05:00	5.834235668	0	0	23.02303696	0.053809422
04/01/2017	17:05:00	5.881383419	0	0	23.02999878	0.045009737
04/01/2017	18:05:00	5.82322073	0	0	23.02199554	0.036895939
04/01/2017	19:05:00	5.724912167	0	0	23.04429817	0.037182191
04/01/2017	20:05:00	5.624749184	0	0	23.05373001	0.019843318
04/01/2017	21:05:00	5.528161049	0	0	23.04002571	0.037154443
04/01/2017	22:05:00	5.449374676	0	0	23.02175331	0.071253755
04/01/2017	23:05:00	5.376335144	0	0	23.01738739	0.083066747
05/01/2017	00:05:00	5.309360027	0	0	23.04247093	0.097811551
05/01/2017	01:05:00	5.222239971	0	0	23.05632019	0.114567692
05/01/2017	02:05:00	5.080358982	0	0	23.01634407	0.13873668
05/01/2017	03:05:00	4.926290512	0	0	22.96761703	0.14399191
05/01/2017	04:05:00	4.782860279	0	0	22.94690132	0.137726828
05/01/2017	05:05:00	4.632210255	0	0	22.92591095	0.136564491
05/01/2017	06:05:00	4.485852718	0	0	22.91999817	0.144390398
05/01/2017	07:05:00	4.350734711	0	0	22.92360878	0.152557591
05/01/2017	08:05:00	4.304123402	0	0	22.93363762	0.147023773
05/01/2017	09:05:00	4.351601124	29.01027107	0	22.94817352	0.138686682
05/01/2017	10:05:00	4.459332466	64.57836914	0	22.95515251	0.132784395
05/01/2017	11:05:00	4.509082794	85.68367767	0	22.9533062	0.12509172
05/01/2017	12:05:00	4.55025816	88.69246674	0	22.97093964	0.107796321
05/01/2017	13:05:00	4.762578964	72.88235474	0	23.01465607	0.089810074
05/01/2017	14:05:00	4.919187546	40.10388184	0	23.04858017	0.081482917
