Date	Time	T	I	N	S	U
03/10/2019	12:00:00	13.18	125.858683085858	4.96238653846154e-05	24.9545454545455	0.0255403884692984
03/10/2019	13:00:00	13.18	141.500117590276	4.99133381410256e-05	24.9507575757576	0.012922629240589
03/10/2019	14:00:00	13.22	162.735950954685	5.02028108974359e-05	24.9469696969697	0.0233800372386446
03/10/2019	15:00:00	13.22	219.939125826561	5.04922836538462e-05	24.9431818181818	0.028122977774275
03/10/2019	16:00:00	13.22	109.326565613651	5.07817564102564e-05	24.9393939393939	0.0304094264711811
03/10/2019	17:00:00	13.21	67.9767480886355	5.10712291666667e-05	24.9356060606061	0.0544166974014106
03/10/2019	18:00:00	13.22	20.5192924072791	5.13607019230769e-05	24.9318181818182	0.064123174357641
03/10/2019	19:00:00	13.22	1.06063862597311	5.16501746794872e-05	24.9280303030303	0.0753683078762154
03/10/2019	20:00:00	13.18	0	5.19396474358974e-05	24.9242424242424	0.0814833348593631
03/10/2019	21:00:00	13.14	0	5.22291201923077e-05	24.9204545454545	0.0802170607264572
03/10/2019	22:00:00	13.14	0	5.2518592948718e-05	24.9166666666667	0.0885714675447941
03/10/2019	23:00:00	13.17	0	5.28080657051282e-05	24.9128787878788	0.0871361300096008
04/10/2019	00:00:00	13.15	0	5.30975384615385e-05	24.9090909090909	0.0797667215312966
04/10/2019	01:00:00	13.14	0	5.33870112179487e-05	24.905303030303	0.0830970406385749
04/10/2019	02:00:00	13.12	0	5.3676483974359e-05	24.9015151515152	0.0782883838966607
04/10/2019	03:00:00	13.08	0	5.39659567307692e-05	24.8977272727273	0.0776893653598877
04/10/2019	04:00:00	13.03	0	5.42554294871795e-05	24.8939393939394	0.0807656270465284
04/10/2019	05:00:00	12.98	0	5.45449022435897e-05	24.8901515151515	0.067572776824397
04/10/2019	06:00:00	12.85	0	5.4834375e-05	24.8863636363636	0.0612434276656152
04/10/2019	07:00:00	12.74	0.515903226426917	5.51238477564103e-05	24.8825757575758	0.0714836534273099
04/10/2019	08:00:00	12.6	20.2248216788285	5.54133205128205e-05	24.8787878787879	0.0637714469167231
04/10/2019	09:00:00	12.76	79.301813631725	5.57027932692308e-05	24.875	0.0544983392025295
04/10/2019	10:00:00	12.77	58.4912568822158	5.5992266025641e-05	24.8712121212121	0.049452194280514
04/10/2019	11:00:00	12.74	75.8058809243685	5.62817387820513e-05	24.8674242424242	0.0390034974474343
04/10/2019	12:00:00	12.73	78.3868802930177	5.65712115384615e-05	24.8636363636364	0.0270335946673076
04/10/2019	13:00:00	12.71	51.2735980521308	5.68606842948718e-05	24.8598484848485	0.0299161073137501
04/10/2019	14:00:00	12.75	43.9720603019689	5.71501570512821e-05	24.8560606060606	0.0446798996067073
04/10/2019	15:00:00	12.71	78.9351140442286	5.74396298076923e-05	24.8522727272727	0.0659482710202385
04/10/2019	16:00:00	12.76	80.4956958062891	5.77291025641026e-05	24.8484848484848	0.0471763140793882
04/10/2019	17:00:00	12.75	46.0607516869006	5.80185753205128e-05	24.844696969697	0.0262405540389438
04/10/2019	18:00:00	12.72	11.8573334635976	5.83080480769231e-05	24.8409090909091	0.0501917818480782
04/10/2019	19:00:00	12.69	0.696710192666727	5.85975208333333e-05	24.8371212121212	0.0675358269877088
04/10/2019	20:00:00	12.65	0	5.88869935897436e-05	24.8333333333333	0.0691697114628687
04/10/2019	21:00:00	12.63	0	5.91764663461538e-05	24.8295454545455	0.0404083630640399
04/10/2019	22:00:00	12.59	0	5.94659391025641e-05	24.8257575757576	0.0300060125907103
04/10/2019	23:00:00	12.57	0	5.97554118589744e-05	24.8219696969697	0.024916951567539
05/10/2019	00:00:00	12.55	0	6.00448846153846e-05	24.8181818181818	0.0338118006278994
05/10/2019	01:00:00	12.54	0	6.03343573717949e-05	24.8143939393939	0.0408291028864945
05/10/2019	02:00:00	12.52	0	6.06238301282051e-05	24.8106060606061	0.0535325861020458
05/10/2019	03:00:00	12.5	0	6.09133028846154e-05	24.8068181818182	0.0564314214210861
