"Date time","T","I","N","U"
"2016/12/31 23:05:00",5.62721395492554,0,0.0117387101650238,0
"2017/01/01 00:05:00",5.51479148864746,0,0.0117791195511818,0.0973302353533682
"2017/01/01 01:05:00",5.40707778930664,0,0.0118206168413163,0.112044359080164
"2017/01/01 02:05:00",5.30037355422974,0,0.0119982960820198,0.0541121435017906
"2017/01/01 03:05:00",5.18840837478638,0,0.012584770321846,0.079890194256489
"2017/01/01 04:05:00",5.06284284591675,0,0.0128266804814338,0.104159425034396
"2017/01/01 05:05:00",4.95155429840088,0,0.0126352603435516,0.108631225471635
"2017/01/01 06:05:00",4.86227130889893,0,0.012394219815731,0.125123147520615
"2017/01/01 07:05:00",4.82977867126465,0,0.0120796015858651,0.134964600646532
"2017/01/01 08:05:00",4.85956001281738,8.27610301971436,0.0116028560400009,0.134410134065595
"2017/01/01 09:05:00",4.9274582862854,29.0999870300293,0.0112560074329377,0.127259663261409
"2017/01/01 10:05:00",5.01936054229736,38.8810844421387,0.0109745813012123,0.124444932453555
"2017/01/01 11:05:00",5.1202540397644,44.6779708862305,0.0107610242962837,0.11395703088041
"2017/01/01 12:05:00",5.21114349365234,40.8094215393066,0.0107171594500542,0.107545274440254
"2017/01/01 13:05:00",5.28183937072754,22.2271842956543,0.0107286998033523,0.0964966035606178
"2017/01/01 14:05:00",5.33024644851685,0.867073178291321,0.0107672112584114,0.0881516414316647
"2017/01/01 15:05:00",5.34370136260986,0,0.0108998290896416,0.0821460836364364
"2017/01/01 16:05:00",5.31503963470459,0,0.0110664251446724,0.0684073485277907
"2017/01/01 17:05:00",5.24954032897949,0,0.0112868579030037,0.0578586405112484
"2017/01/01 18:05:00",5.1124210357666,0,0.0114937217235566,0.0568226038133621
"2017/01/01 19:05:00",4.98299026489258,0,0.0115473759174347,0.052046861061123
"2017/01/01 20:05:00",4.87111949920654,0,0.0115110028982162,0.0518718330459903
"2017/01/01 21:05:00",4.78980731964111,0,0.0113654043674469,0.0571071732164039
"2017/01/01 22:05:00",4.72797107696533,0,0.0111399874687195,0.062787404780078
"2017/01/01 23:05:00",4.62441110610962,0,0.0111268982291222,0.0565611419137273
"2017/01/02 00:05:00",4.4977502822876,0,0.0114026526808739,0.0450070785168931
"2017/01/02 01:05:00",4.35078287124634,0,0.0117895978093147,0.0314957489035693
"2017/01/02 02:05:00",4.18254232406616,0,0.0122830058932304,0.0340173647711675
"2017/01/02 03:05:00",4.01335716247559,0,0.0127082831859589,0.0474738135598353
"2017/01/02 04:05:00",3.86743831634521,0,0.0128803616762161,0.0691622941531018
"2017/01/02 05:05:00",3.78522920608521,0,0.0127322858572006,0.0899129473958009
"2017/01/02 06:05:00",3.77942037582397,0,0.0124092800021172,0.0976074889086879
"2017/01/02 07:05:00",3.89632868766785,0,0.0121019180417061,0.0972134445808258
"2017/01/02 08:05:00",4.11946105957031,26.9375381469727,0.0118274264335633,0.0930553763733878
"2017/01/02 09:05:00",4.43469381332397,61.6180305480957,0.0115251628756523,0.0846219441360104
"2017/01/02 10:05:00",4.78178215026855,81.8857879638672,0.011250908613205,0.0763524119317393
"2017/01/02 11:05:00",5.10662412643433,83.8478088378906,0.0111076936721802,0.0753373915785625
"2017/01/02 12:05:00",5.39581251144409,67.8273010253906,0.0110726173520088,0.0778121925323016
"2017/01/02 13:05:00",5.63953733444214,36.1395034790039,0.0111672869324684,0.0840625856133806
"2017/01/02 14:05:00",5.83027648925781,1.42690122127533,0.0114104585051537,0.0891302765711361
"2017/01/02 15:05:00",5.95823192596436,0,0.0117297140359879,0.105284890853331
"2017/01/02 16:05:00",6.009352684021,0,0.0120128592848778,0.11950442462498
"2017/01/02 17:05:00",5.97764301300049,0,0.0120014402866363,0.118122635556202
"2017/01/02 18:05:00",5.85980749130249,0,0.0117276472449303,0.111256678005631
"2017/01/02 19:05:00",5.74768543243408,0,0.0114374995231629,0.106497587697215
"2017/01/02 20:05:00",5.64029788970947,0,0.0111831670403481,0.0974297998634837
"2017/01/02 21:05:00",5.53815412521362,0,0.0109615107774734,0.0893371606532454
"2017/01/02 22:05:00",5.4387469291687,0,0.0108131141662598,0.0777596726112122
"2017/01/02 23:05:00",5.33501577377319,0,0.0107622059583664,0.0756647887288202
"2017/01/03 00:05:00",5.23709487915039,0,0.0107416160702705,0.0697978777816783
"2017/01/03 01:05:00",5.15441989898682,0,0.0107021300792694,0.0614272425556926
"2017/01/03 02:05:00",5.05445766448975,0,0.0107546871900559,0.0582339596630549
"2017/01/03 03:05:00",4.91250371932983,0,0.0110224682688713,0.0702262537514376
"2017/01/03 04:05:00",4.75993156433105,0,0.0113614397048951,0.0820742475473047
"2017/01/03 05:05:00",4.63917016983032,0,0.0114503692984581,0.0829800955349288
"2017/01/03 06:05:00",4.59081172943115,0,0.0112961381077766,0.0859038821152746
"2017/01/03 07:05:00",4.59928941726685,0,0.011104022026062,0.0857723250074318
"2017/01/03 08:05:00",4.66134786605835,11.0341186523438,0.0108746681809425,0.0851862697668149
"2017/01/03 09:05:00",4.78732299804688,17.6935653686523,0.0105867574214935,0.0730721448737492
"2017/01/03 10:05:00",4.93003273010254,34.3942031860352,0.0103196912109852,0.0596689247274494
"2017/01/03 11:05:00",5.02399778366089,37.191032409668,0.0102094870209694,0.0578493859246922
"2017/01/03 12:05:00",5.05824661254883,15.6042022705078,0.0102998818159103,0.063421634227284
"2017/01/03 13:05:00",5.06552982330322,16.3250427246094,0.0105185596644879,0.062877719790977
"2017/01/03 14:05:00",5.05124807357788,1.11977565288544,0.0108322499990463,0.0505670628855281
